model	params_B	n_steps	peak_step	peak_reward	early_mean	late_mean	late_minus_peak	zero_fraction	frac_above_0p5	frac_below_0p1	post_peak_decay_slope	n_steps_after_peak	is_collapse
Qwen3.5-4B	4.0	30	1	1.0000	0.8125	0.8500	-0.1500	0.0000	0.8333	0.0000	+0.00008	30	False
Qwen3-8B	8.0	30	13	0.6250	0.2437	0.3438	-0.2812	0.0667	0.1000	0.1333	+0.00716	18	False
Llama-3.1-8B-Instruct	8.0	30	1	1.0000	0.9250	0.8438	-0.1562	0.0000	0.9333	0.0000	-0.00374	30	False
DeepSeek-V3.1	685.0	20	3	1.0000	0.8333	0.8125	-0.1875	0.0000	0.9500	0.0000	+0.00142	18	False
Nemotron-120B	120.0	20	3	0.8750	0.1458	0.2083	-0.6667	0.5500	0.0500	0.5500	-0.00361	18	True
