experiment	algo	seed	cell	mean_dL	n_steps
drgrpo_gsm8k_cot	grpo	42	all_all	-0.792026	29
drgrpo_gsm8k_cot	grpo	42	all_high	-0.791667	1
drgrpo_gsm8k_cot	grpo	42	all_mid	-0.209135	13
drgrpo_gsm8k_cot	grpo	42	all_low	-1.297222	15
drgrpo_gsm8k_cot	grpo	42	pos_all	-2.366186	13
drgrpo_gsm8k_cot	grpo	42	pos_high	-0.791667	1
drgrpo_gsm8k_cot	grpo	42	pos_mid	-1.292969	4
drgrpo_gsm8k_cot	grpo	42	pos_low	-3.099609	8
drgrpo_gsm8k_cot	grpo	42	neg_all	0.486979	16
drgrpo_gsm8k_cot	grpo	42	neg_high		0
drgrpo_gsm8k_cot	grpo	42	neg_mid	0.272569	9
drgrpo_gsm8k_cot	grpo	42	neg_low	0.762649	7
drgrpo_gsm8k_cot	grpo	42	zero_all		0
drgrpo_gsm8k_cot	grpo	42	zero_high		0
drgrpo_gsm8k_cot	grpo	42	zero_mid		0
drgrpo_gsm8k_cot	grpo	42	zero_low		0
drgrpo_gsm8k_cot	dr_grpo	42	all_all	-0.386853	29
drgrpo_gsm8k_cot	dr_grpo	42	all_high		0
drgrpo_gsm8k_cot	dr_grpo	42	all_mid	-0.7	15
drgrpo_gsm8k_cot	dr_grpo	42	all_low	-0.051339	14
drgrpo_gsm8k_cot	dr_grpo	42	pos_all	-2.00558	14
drgrpo_gsm8k_cot	dr_grpo	42	pos_high		0
drgrpo_gsm8k_cot	dr_grpo	42	pos_mid	-2.834821	7
drgrpo_gsm8k_cot	dr_grpo	42	pos_low	-1.176339	7
drgrpo_gsm8k_cot	dr_grpo	42	neg_all	1.123958	15
drgrpo_gsm8k_cot	dr_grpo	42	neg_high		0
drgrpo_gsm8k_cot	dr_grpo	42	neg_mid	1.167969	8
drgrpo_gsm8k_cot	dr_grpo	42	neg_low	1.073661	7
drgrpo_gsm8k_cot	dr_grpo	42	zero_all		0
drgrpo_gsm8k_cot	dr_grpo	42	zero_high		0
drgrpo_gsm8k_cot	dr_grpo	42	zero_mid		0
drgrpo_gsm8k_cot	dr_grpo	42	zero_low		0
drgrpo_gsm8k_cot	grpo	123	all_all	-0.45986	29
drgrpo_gsm8k_cot	grpo	123	all_high		0
drgrpo_gsm8k_cot	grpo	123	all_mid	-0.727951	15
drgrpo_gsm8k_cot	grpo	123	all_low	-0.172619	14
drgrpo_gsm8k_cot	grpo	123	pos_all	-1.155048	13
drgrpo_gsm8k_cot	grpo	123	pos_high		0
drgrpo_gsm8k_cot	grpo	123	pos_mid	-1.833333	5
drgrpo_gsm8k_cot	grpo	123	pos_low	-0.73112	8
drgrpo_gsm8k_cot	grpo	123	neg_all	0.007465	15
drgrpo_gsm8k_cot	grpo	123	neg_high		0
drgrpo_gsm8k_cot	grpo	123	neg_mid	-0.17526	10
drgrpo_gsm8k_cot	grpo	123	neg_low	0.372917	5
drgrpo_gsm8k_cot	grpo	123	zero_all	1.567708	1
drgrpo_gsm8k_cot	grpo	123	zero_high		0
drgrpo_gsm8k_cot	grpo	123	zero_mid		0
drgrpo_gsm8k_cot	grpo	123	zero_low	1.567708	1
drgrpo_gsm8k_cot	dr_grpo	123	all_all	-0.252425	29
drgrpo_gsm8k_cot	dr_grpo	123	all_high	-0.458333	1
drgrpo_gsm8k_cot	dr_grpo	123	all_mid	-0.360447	17
drgrpo_gsm8k_cot	dr_grpo	123	all_low	-0.066761	11
drgrpo_gsm8k_cot	dr_grpo	123	pos_all	-1.188301	13
drgrpo_gsm8k_cot	dr_grpo	123	pos_high		0
drgrpo_gsm8k_cot	dr_grpo	123	pos_mid	-1.548828	8
drgrpo_gsm8k_cot	dr_grpo	123	pos_low	-0.611458	5
drgrpo_gsm8k_cot	dr_grpo	123	neg_all	0.507975	16
drgrpo_gsm8k_cot	dr_grpo	123	neg_high	-0.458333	1
drgrpo_gsm8k_cot	dr_grpo	123	neg_mid	0.695891	9
drgrpo_gsm8k_cot	dr_grpo	123	neg_low	0.387153	6
drgrpo_gsm8k_cot	dr_grpo	123	zero_all		0
drgrpo_gsm8k_cot	dr_grpo	123	zero_high		0
drgrpo_gsm8k_cot	dr_grpo	123	zero_mid		0
drgrpo_gsm8k_cot	dr_grpo	123	zero_low		0
drgrpo_gsm8k_cot	grpo	456	all_all	-0.099407	29
drgrpo_gsm8k_cot	grpo	456	all_high	3.796875	1
drgrpo_gsm8k_cot	grpo	456	all_mid	0.124863	19
drgrpo_gsm8k_cot	grpo	456	all_low	-1.005787	9
drgrpo_gsm8k_cot	grpo	456	pos_all	-1.61899	13
drgrpo_gsm8k_cot	grpo	456	pos_high		0
drgrpo_gsm8k_cot	grpo	456	pos_mid	-1.557292	7
drgrpo_gsm8k_cot	grpo	456	pos_low	-1.690972	6
drgrpo_gsm8k_cot	grpo	456	neg_all	1.135254	16
drgrpo_gsm8k_cot	grpo	456	neg_high	3.796875	1
drgrpo_gsm8k_cot	grpo	456	neg_mid	1.10612	12
drgrpo_gsm8k_cot	grpo	456	neg_low	0.364583	3
drgrpo_gsm8k_cot	grpo	456	zero_all		0
drgrpo_gsm8k_cot	grpo	456	zero_high		0
drgrpo_gsm8k_cot	grpo	456	zero_mid		0
drgrpo_gsm8k_cot	grpo	456	zero_low		0
drgrpo_gsm8k_cot	dr_grpo	456	all_all	-0.082435	29
drgrpo_gsm8k_cot	dr_grpo	456	all_high	3.140625	1
drgrpo_gsm8k_cot	dr_grpo	456	all_mid	0.447304	17
drgrpo_gsm8k_cot	dr_grpo	456	all_low	-1.194129	11
drgrpo_gsm8k_cot	dr_grpo	456	pos_all	-1.353795	14
drgrpo_gsm8k_cot	dr_grpo	456	pos_high		0
drgrpo_gsm8k_cot	dr_grpo	456	pos_mid	-1.376042	5
drgrpo_gsm8k_cot	dr_grpo	456	pos_low	-1.341435	9
drgrpo_gsm8k_cot	dr_grpo	456	neg_all	0.966146	14
drgrpo_gsm8k_cot	dr_grpo	456	neg_high	3.140625	1
drgrpo_gsm8k_cot	dr_grpo	456	neg_mid	1.04072	11
drgrpo_gsm8k_cot	dr_grpo	456	neg_low	-0.53125	2
drgrpo_gsm8k_cot	dr_grpo	456	zero_all	3.036458	1
drgrpo_gsm8k_cot	dr_grpo	456	zero_high		0
drgrpo_gsm8k_cot	dr_grpo	456	zero_mid	3.036458	1
drgrpo_gsm8k_cot	dr_grpo	456	zero_low		0
drgrpo_vs_grpo	grpo	42	all_all	-0.067608	39
drgrpo_vs_grpo	grpo	42	all_high	-0.000651	32
drgrpo_vs_grpo	grpo	42	all_mid	-0.19987	4
