task	algo	seed	n_steps	CV_L	mean_L	mean_R	rho_k-3	p_k-3	rho_k-2	p_k-2	rho_k-1	p_k-1	rho_k+0	p_k+0	rho_k+1	p_k+1	rho_k+2	p_k+2	rho_k+3	p_k+3	dominant_lag	dominant_absrho	rho_at_dominant
arithmetic_easy	dr_grpo	42	40	0.13669678153835968	4.7166015625	0.8998046875	-0.0629806211966407	0.7111475475648051	-0.06028765044703755	0.7191831119785494	-0.09646701431303907	0.5590851179694482	-0.11040366331996385	0.4976510752787925	-0.28663700806414233	0.07687055325302806	-0.1578082314996333	0.3440230579601145	-0.3837254957512155	0.01905014280014843	3	0.3837254957512155	-0.3837254957512155
arithmetic_easy	dr_grpo	123	40	0.1236147853613614	4.6796875	0.903125	0.07551234199517835	0.656902576434579	-0.07171564315601626	0.6687467115433097	-0.09468607195502247	0.5663966739488876	-0.1097953802413571	0.5000374628847067	-0.22789459369692333	0.16291446556540212	-0.2149982978195573	0.19487684874488784	-0.1798770580834317	0.2867334314639365	1	0.22789459369692333	-0.22789459369692333
arithmetic_easy	dr_grpo	456	40	0.13134076676586431	4.70390625	0.9021484375	-0.26567103074703136	0.11200218164271447	-0.11045713669327233	0.5091366517866327	-0.16108054141225306	0.32726610891378194	-0.2981341091588712	0.061689942559139906	-0.3484399844500253	0.029716706814854183	-0.3200712335947404	0.050110378924085756	-0.2330957965979143	0.16501128898108375	1	0.3484399844500253	-0.3484399844500253
arithmetic_easy	dr_grpo	789	40	0.12403775322011501	4.74296875	0.905859375	-0.35268675354234247	0.03227321392717708	-0.1887414924867401	0.2564378540718883	-0.4614632585113473	0.003106995935958398	-0.451107105770621	0.0034836097583765863	-0.4316865670954458	0.006068543948614724	-0.41545597214793284	0.009488979234303668	-0.33686006898672144	0.0414771247405439	-1	0.4614632585113473	-0.4614632585113473
arithmetic_easy	dr_grpo	1024	40	0.12670608039433953	4.7228515625	0.923046875	-0.3500885319033219	0.033657383355127114	-0.3659584076200233	0.023847169973979572	-0.39318266053704637	0.013279892956576759	-0.4946778579646554	0.0011754573685063404	-0.4300456615088654	0.006286033981482128	-0.4109329734435996	0.010381094927852122	-0.5465918970078079	0.00046503845075556013	3	0.5465918970078079	-0.5465918970078079
arithmetic_easy	grpo	42	40	0.14172244090136396	4.744140625	0.91953125	-0.11159019171006991	0.5108351826933207	-0.37507253198998114	0.020325034038214396	-0.268461323568747	0.0984355062888113	-0.28090762921551166	0.07911808469550134	-0.3814740329452397	0.016566355802772468	-0.2815490333814853	0.08681516610181103	-0.4191554467686689	0.009815903699629442	3	0.4191554467686689	-0.4191554467686689
arithmetic_easy	grpo	123	40	0.13753727009167654	4.7501953125	0.9142578125	-0.15165244742755085	0.3702515034348227	-0.0652375248396881	0.6971783547676283	-0.31856897594502875	0.0480903635496817	-0.36350066002009496	0.02113438247689824	-0.2605828796420248	0.10910861326613361	-0.048746108246867925	0.7713373520721477	-0.07763302812185432	0.6478825709472317	0	0.36350066002009496	-0.36350066002009496
arithmetic_easy	grpo	456	40	0.1316759903038189	4.6841796875	0.92265625	-0.33792844380126663	0.040795429817110394	-0.061565420501857794	0.7134805428771834	-0.4758483667125859	0.0022000331569218493	-0.29089145821935475	0.06860307375254401	-0.364551225988053	0.022506875857863744	-0.35385399888964253	0.029294735368590372	-0.2866575334777091	0.0854087268043413	-1	0.4758483667125859	-0.4758483667125859
arithmetic_easy	grpo	789	40	0.12938162671984094	4.746875	0.9228515625	-0.5069577410560536	0.0013641988254672222	-0.36262123581755135	0.025257444887544302	-0.4984512165762749	0.0012401242488486238	-0.5249774180632587	0.0005053286388693386	-0.4052879552760045	0.010480412137166923	-0.4776975040656111	0.0024214365510036293	-0.3510524643610334	0.03313830357142139	0	0.5249774180632587	-0.5249774180632587
arithmetic_easy	grpo	1024	40	0.1330133257764546	4.7857421875	0.921484375	-0.4878088701806939	0.0021942140617531637	-0.5542400669161048	0.0003057287308230927	-0.5447859041802864	0.00033602377472121217	-0.6353529106766506	1.06058680005919e-05	-0.5550443853834282	0.0002451370394135478	-0.5341525179666379	0.0005520767772206755	-0.5235438793920074	0.0008834457662002112	0	0.6353529106766506	-0.6353529106766506
