T_tokens	G_a	G_b	acc_G_a	acc_G_b	diff_a_minus_b	diff_ci_low	diff_ci_high	wu_2025_lower_bound_diff	retention_pct	consistent_with_wu_claim
1000000	4	32	0.41	0.42	-0.01	-0.07	0.05	-0.01008	97.62	no
4000000	4	32	0.55	0.66	-0.11	-0.17	-0.05	-0.01584	83.33	no
16000000	4	32	0.63	0.84	-0.21	-0.27	-0.15	-0.02016	75.0	no
64000000	4	32	0.64	0.88	-0.24	-0.3	-0.18	-0.02112	72.73	no
