metric_kind	metric_key	headline
effect_size	T=1e+06	T=1M: Cohen's d(G=32 vs G=4) = +0.65  (|d|>0.8 = large; |d|>1.2 = very large)
effect_size_detail	T=1e+06	T=1M: acc(G=4)=0.410+/-0.015, acc(G=32)=0.420+/-0.015, diff=+0.010, diff_SE=0.022
effect_size	T=4e+06	T=4M: Cohen's d(G=32 vs G=4) = +7.19  (|d|>0.8 = large; |d|>1.2 = very large)
effect_size_detail	T=4e+06	T=4M: acc(G=4)=0.550+/-0.015, acc(G=32)=0.660+/-0.015, diff=+0.110, diff_SE=0.022
effect_size	T=2e+07	T=16M: Cohen's d(G=32 vs G=4) = +13.72  (|d|>0.8 = large; |d|>1.2 = very large)
effect_size_detail	T=2e+07	T=16M: acc(G=4)=0.630+/-0.015, acc(G=32)=0.840+/-0.015, diff=+0.210, diff_SE=0.022
effect_size	T=6e+07	T=64M: Cohen's d(G=32 vs G=4) = +15.68  (|d|>0.8 = large; |d|>1.2 = very large)
effect_size_detail	T=6e+07	T=64M: acc(G=4)=0.640+/-0.015, acc(G=32)=0.880+/-0.015, diff=+0.240, diff_SE=0.022
