section	metric_key	headline
C_bounded_cone	n_test_T	"Bounded-cone test of acc(G=64) <= acc(G=32): 4/4 T-values have non-positive delta"
C_bounded_cone	supported	"BOUNDED CONE SUPPORTED = True"
C_bounded_cone	statement	"G=64 acc <= G=32 acc at every T in {1M,4M,16M,64M} (all 4/4 non-positive)"
C_bounded_cone	T=1000000	"T=1e+06: acc(G=32)=0.420, acc(G=64)=0.350, delta=-0.070  [OK]"
C_bounded_cone	T=4000000	"T=4e+06: acc(G=32)=0.660, acc(G=64)=0.580, delta=-0.080  [OK]"
C_bounded_cone	T=16000000	"T=2e+07: acc(G=32)=0.840, acc(G=64)=0.800, delta=-0.040  [OK]"
C_bounded_cone	T=64000000	"T=6e+07: acc(G=32)=0.880, acc(G=64)=0.870, delta=-0.010  [OK]"
