T_tokens	T_M	n_points	G_used	G_max	acc_at_G_max	a_hat	b_hat	k_hat	c_hat	rmse_acc	b_boot_lo	b_boot_hi	c_boot_lo	c_boot_hi
1000000	1.0	5	4,8,16,32,64	64	0.35	0.415	0.005	0.005	2.38	0.048	0.0483	1.3622	-0.8918	0.9707
4000000	4.0	5	4,8,16,32,64	64	0.58	0.6479	2.115	2.115	2.2881	0.0414	0.0707	2.0866	-0.9064	0.9909
16000000	16.0	5	4,8,16,32,64	64	0.8	0.8364	1.3929	1.3929	1.4112	0.0189	0.0928	2.7125	-0.7461	0.9741
64000000	64.0	5	4,8,16,32,64	64	0.87	0.8957	1.2737	1.2737	1.1733	0.0107	0.1131	3.0637	-0.8035	0.9433
