task	n	rho_raw_sever_vs_dL	p_raw	rho_partial_sever_vs_dL_given_bwd	p_partial	rho_bwd_vs_dL_ctrl
arithmetic_easy	20	0.10676691729323308	0.6541415450094845	0.05864661654135337	0.8059928433862232	0.016541353383458645
gsm8k_cot	12	-0.18881118881118883	0.5567370561768314	-0.11188811188811189	0.729194990751066	-0.14685314685314685
