model	model_short	params_B	n_steps	family	forecast_mae	forecast_rmse	test_steps	pred_steps
Qwen3.5-4B	qwen3.5-4b	4.0	30	constant	0.1923	0.1925	0.625,1.0,1.0,1.0	0.8029,0.8029,0.8029,0.8029
Qwen3.5-4B	qwen3.5-4b	4.0	30	1seg_ols	0.2247	0.232	0.625,1.0,1.0,1.0	0.7498,0.7459,0.7419,0.738
Qwen3.5-4B	qwen3.5-4b	4.0	30	saturation	0.2775	0.3161	0.625,1.0,1.0,1.0	0.6095,0.6227,0.6354,0.6475
Qwen3.5-4B	qwen3.5-4b	4.0	30	3seg	0.4246	0.4496	0.625,1.0,1.0,1.0	0.4554,0.4729,0.4904,0.5079
Qwen3-8B	qwen3-8b	8.0	30	constant	0.1719	0.203	0.4375,0.1875,0.625,0.1875	0.274,0.274,0.274,0.274
Qwen3-8B	qwen3-8b	8.0	30	1seg_ols	0.1729	0.1929	0.4375,0.1875,0.625,0.1875	0.3006,0.3025,0.3045,0.3065
Qwen3-8B	qwen3-8b	8.0	30	saturation	0.1752	0.214	0.4375,0.1875,0.625,0.1875	0.2431,0.2499,0.2565,0.263
Qwen3-8B	qwen3-8b	8.0	30	3seg	0.2452	0.3028	0.4375,0.1875,0.625,0.1875	0.5625,0.5841,0.6058,0.6274
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	constant	0.0853	0.1017	0.8125,1.0,0.875,1.0	0.8606,0.8606,0.8606,0.8606
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	1seg_ols	0.1825	0.2021	0.8125,1.0,0.875,1.0	0.7515,0.7435,0.7354,0.7273
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	saturation	0.6742	0.6785	0.8125,1.0,0.875,1.0	0.2365,0.244,0.2515,0.2588
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	3seg	0.0781	0.1127	0.8125,1.0,0.875,1.0	1.0,1.0,1.0,1.0
gpt-oss-20B	gpt-oss-20b	20.0	30	constant	0.1358	0.1541	0.8125,1.0,1.0,1.0	0.8221,0.8221,0.8221,0.8221
gpt-oss-20B	gpt-oss-20b	20.0	30	1seg_ols	0.1309	0.1463	0.8125,1.0,1.0,1.0	0.8302,0.8308,0.8314,0.832
gpt-oss-20B	gpt-oss-20b	20.0	30	saturation	0.6656	0.6697	0.8125,1.0,1.0,1.0	0.2741,0.2831,0.292,0.3008
gpt-oss-20B	gpt-oss-20b	20.0	30	3seg	0.5565	0.5608	0.8125,1.0,1.0,1.0	0.375,0.3894,0.4038,0.4183
DeepSeek-V3.1	deepseek-v3.1	685.0	20	constant	0.0938	0.1036	0.875,0.75,0.75,1.0	0.8438,0.8438,0.8438,0.8438
DeepSeek-V3.1	deepseek-v3.1	685.0	20	1seg_ols	0.0938	0.1039	0.875,0.75,0.75,1.0	0.8406,0.8403,0.8399,0.8395
DeepSeek-V3.1	deepseek-v3.1	685.0	20	saturation	0.415	0.4262	0.875,0.75,0.75,1.0	0.4005,0.4197,0.4384,0.4565
DeepSeek-V3.1	deepseek-v3.1	685.0	20	3seg	0.8438	0.8501	0.875,0.75,0.75,1.0	0.0,0.0,0.0,0.0
Nemotron-120B	nemotron-120b	120.0	20	constant	0.25	0.267	0.0,0.0,0.5,0.5	0.1562,0.1562,0.1562,0.1562
Nemotron-120B	nemotron-120b	120.0	20	1seg_ols	0.2566	0.3024	0.0,0.0,0.5,0.5	0.1,0.0934,0.0868,0.0801
Nemotron-120B	nemotron-120b	120.0	20	saturation	0.2427	0.2609	0.0,0.0,0.5,0.5	0.1433,0.1507,0.158,0.1652
Nemotron-120B	nemotron-120b	120.0	20	3seg	0.25	0.3536	0.0,0.0,0.5,0.5	0.0,0.0,0.0,0.0
Kimi-K2-Thinking	kimi-k2	1000.0	20	constant	0.0625	0.0781	0.875,0.75,0.875,0.75	0.8594,0.8594,0.8594,0.8594
Kimi-K2-Thinking	kimi-k2	1000.0	20	1seg_ols	0.1443	0.1549	0.875,0.75,0.875,0.75	0.6969,0.6778,0.6586,0.6395
Kimi-K2-Thinking	kimi-k2	1000.0	20	saturation	0.7865	0.789	0.875,0.75,0.875,0.75	0.0238,0.0253,0.0268,0.0282
Kimi-K2-Thinking	kimi-k2	1000.0	20	3seg	0.8125	0.8149	0.875,0.75,0.875,0.75	0.0,0.0,0.0,0.0
