finding	tier_a_support	tier_b_support	effect_size_cohens_d	bootstrap_ci_low	bootstrap_ci_high	n_runs_used	bh_adjusted_p	conclusion
F1	no	no	nan	nan	nan	0	nan	insufficient Tier-A/B data (survival: NO)
F2	no	no	nan	nan	nan	0	nan	insufficient Tier-A/B data (survival: NO)
F3	yes	no	21.837	0.665	0.774	20	2.064e-05	survives BH (adj p=2.06e-05, |d|=21.84)
F4	no	no	nan	nan	nan	0	nan	insufficient Tier-A/B data (survival: NO)
F5	no	no	nan	nan	nan	0	nan	insufficient Tier-A/B data (survival: NO)
