# zvf_iter98_rho_perstep.tsv — over-dispersion ratio rho per run.
# rho_t = zvf_emp_t / (p_t^G + (1-p_t)^G). rho>1 = herding, rho<1 = anti-herding.
# Aggregated over the 40-step trajectory of each (Qwen2.5-0.5B, G, seed).
model	G	seed	last10_acc	heldout_acc	mean_zvf	rho_mean	rho_std	rho_lag1	frac_above_1	frac_below_1	auc_rho_gt_1	log_rho_mean
Qwen/Qwen2.5-0.5B	2	42	0.9781	0.99	0.8266	0.9871	0.1102	0.5309	0.2	0.45	0.0221	-0.0201
Qwen/Qwen2.5-0.5B	2	123	0.975	0.975	0.8516	1.026	0.1021	-0.0628	0.325	0.35	0.0445	0.0208
Qwen/Qwen2.5-0.5B	2	456	0.9781	0.98	0.8359	1.0154	0.0911	-0.2218	0.25	0.475	0.0334	0.011
Qwen/Qwen2.5-0.5B	4	42	0.9688	0.99	0.7578	1.1117	0.2311	0.1308	0.5	0.35	0.138	0.0821
Qwen/Qwen2.5-0.5B	4	123	0.9734	0.99	0.7812	1.1271	0.2379	0.03	0.6	0.175	0.1437	0.0997
Qwen/Qwen2.5-0.5B	4	456	0.9719	0.985	0.7516	1.1045	0.3125	0.1268	0.425	0.3	0.135	0.0631
Qwen/Qwen2.5-0.5B	8	42	0.9727	0.985	0.7016	1.3642	0.7643	-0.0314	0.6	0.175	0.3907	-0.0941
Qwen/Qwen2.5-0.5B	8	123	0.9805	0.995	0.6922	1.5063	1.5021	0.1172	0.6	0.275	0.5436	-0.0883
Qwen/Qwen2.5-0.5B	8	456	0.9664	0.99	0.6781	1.4948	1.2793	-0.3372	0.6	0.225	0.549	-0.3991
Qwen/Qwen2.5-0.5B	16	42	0.9891	0.97	0.6219	1.2106	0.9517	0.4706	0.45	0.4	0.39	-2.1953
Qwen/Qwen2.5-0.5B	16	123	0.9871	0.975	0.6344	1.4452	1.1802	0.1148	0.575	0.275	0.5744	-1.4088
Qwen/Qwen2.5-0.5B	16	456	0.975	0.99	0.6375	4.296	16.1014	-0.0592	0.575	0.2	3.4213	-1.211
