T_tokens	wu_2025_paper	wu_2025_Ga_over_Gb	wu_2025_retention	ours_Ga_over_Gb	ours_Ga_acc	ours_Gb_acc	ours_retention	above_wu_threshold	gap_to_wu
1000000	arXiv:2510.00977	2 / 16	0.976	4 / 32	0.41	0.42	0.9761904761904762	yes	0.00019047619047618536
4000000	arXiv:2510.00977	2 / 16	0.976	4 / 32	0.55	0.66	0.8333333333333334	no	-0.1426666666666666
16000000	arXiv:2510.00977	2 / 16	0.976	4 / 32	0.63	0.84	0.75	no	-0.22599999999999998
64000000	arXiv:2510.00977	2 / 16	0.976	4 / 32	0.64	0.88	0.7272727272727273	no	-0.24872727272727269
