task	algo	seed	window	n_in_window	rwd_base	rwd_lh	len_base	len_lh	cum_dR	cum_dL	cum_eff	bwd_signed	abs_bwd	fwd_signed	abs_fwd	phi_L	phi_R
arithmetic_easy	grpo	42	0	10	0.528125	0.928125	6.171875	4.614063	0.4	1.557812	0.25677	0.414435	0.414435	0.31094	0.31094	0.637499	0.700046
arithmetic_easy	grpo	42	1	10	0.528125	0.982812	6.171875	4.557812	0.454688	1.614063	0.281704	-0.620673	0.620673	-0.298845	0.298845	0.602365	0.032182
arithmetic_easy	grpo	42	2	10	0.528125	0.992188	6.171875	4.585938	0.464063	1.585938	0.292611	-0.59398	0.59398	0.117934	0.117934	-0.609458	0.046875
arithmetic_easy	grpo	42	3	10	0.528125	0.976562	6.171875	4.596875	0.448438	1.575	0.284722	-0.39017	0.39017	0.585567	0.585567	-0.172525	0.169492
arithmetic_easy	grpo	123	0	10	0.560937	0.923438	6.0625	4.6375	0.3625	1.425	0.254386	0.199295	0.199295	0.302058	0.302058	0.562093	0.717485
arithmetic_easy	grpo	123	1	10	0.560937	0.953125	6.0625	4.389062	0.392188	1.673438	0.23436	0.22679	0.22679	0.170312	0.170312	0.15023	-0.09854
arithmetic_easy	grpo	123	2	10	0.560937	0.9875	6.0625	4.660938	0.426563	1.401562	0.304348	-0.453887	0.453887	0.577617	0.577617	0.097968	-0.111222
arithmetic_easy	grpo	123	3	10	0.560937	0.998437	6.0625	4.55	0.4375	1.5125	0.289256	0.253489	0.253489	0.862626	0.862626	0.096421	0.37037
arithmetic_easy	grpo	456	0	10	0.559375	0.915625	6.045312	4.476562	0.35625	1.56875	0.227092	0.006085	0.006085	0.480412	0.480412	0.667684	0.721511
arithmetic_easy	grpo	456	1	10	0.559375	0.98125	6.045312	4.571875	0.421875	1.473437	0.28632	0.527873	0.527873	0.391897	0.391897	-0.382609	-0.142491
arithmetic_easy	grpo	456	2	10	0.559375	0.996875	6.045312	4.4375	0.4375	1.607812	0.272109	-0.223176	0.223176	-0.175594	0.175594	-0.227923	-0.184211
arithmetic_easy	grpo	456	3	10	0.559375	0.998437	6.045312	4.45	0.439063	1.595312	0.27522	-0.729016	0.729016	0.271134	0.271134	-0.241697	-0.184278
arithmetic_easy	grpo	789	0	10	0.548438	0.926562	6.167187	4.659375	0.378125	1.507812	0.250777	-0.240416	0.240416	0.342283	0.342283	0.673186	0.793107
arithmetic_easy	grpo	789	1	10	0.548438	0.984375	6.167187	4.5	0.435937	1.667187	0.261481	-0.150368	0.150368	-0.112342	0.112342	-0.134931	-0.189112
arithmetic_easy	grpo	789	2	10	0.548438	0.984375	6.167187	4.551563	0.435937	1.615625	0.269826	-0.655206	0.655206	0.290913	0.290913	-0.296509	-0.246894
arithmetic_easy	grpo	789	3	10	0.548438	0.989062	6.167187	4.485938	0.440625	1.68125	0.262082	0.065653	0.065653	0.403767	0.403767	0.208333	0.496962
arithmetic_easy	grpo	1024	0	10	0.509375	0.934375	6.2625	4.9125	0.425	1.35	0.314815	-0.506054	0.506054	0.237613	0.237613	0.670733	0.700832
arithmetic_easy	grpo	1024	1	10	0.509375	0.98125	6.2625	4.5875	0.471875	1.675	0.281716	-0.570449	0.570449	0.79569	0.79569	0.109282	-0.484104
arithmetic_easy	grpo	1024	2	10	0.509375	0.998437	6.2625	4.410938	0.489062	1.851562	0.264135	0.504802	0.504802	-0.500212	0.500212	0.491488	-0.198347
arithmetic_easy	grpo	1024	3	10	0.509375	0.985938	6.2625	4.5	0.476562	1.7625	0.27039	0.081103	0.081103	0.022859	0.022859	-0.382653	-0.555556
arithmetic_easy	dr_grpo	42	0	10	0.478125	0.885938	6.1125	4.523438	0.407813	1.589062	0.256637	-0.539859	0.539859	0.394488	0.394488	0.680179	0.764804
arithmetic_easy	dr_grpo	42	1	10	0.478125	0.984375	6.1125	4.5625	0.50625	1.55	0.326613	0.055537	0.055537	-0.227989	0.227989	0.649099	0.101604
arithmetic_easy	dr_grpo	42	2	10	0.478125	0.99375	6.1125	4.557812	0.515625	1.554688	0.331658	0.230502	0.230502	-0.66296	0.66296	-0.489286	-0.12963
arithmetic_easy	dr_grpo	42	3	10	0.478125	0.973437	6.1125	4.575	0.495312	1.5375	0.322154	0.155655	0.155655	0.31436	0.31436	-0.158251	-0.23662
arithmetic_easy	dr_grpo	123	0	10	0.503125	0.890625	5.964062	4.560937	0.3875	1.403125	0.276169	0.282226	0.282226	0.394778	0.394778	0.734967	0.73762
