coupling	n_anchors	spearman_rho	permutation_p	interpretation
peak_frac_vs_loo_residual	12	-0.125	0.7001	negative ⇒ late peak ⇒ under-prediction
peak_step_vs_loo_residual	12	-0.2501	0.4238	negative ⇒ high peak_step ⇒ under-prediction
