model	params_B	phase	is_collapse	peak_reward	frac_below_0p1	frac_above_0p5	zero_fraction	late_minus_peak	zvf_proxy
Qwen3.5-4B	4.0	plateau	False	1.0	0.0	0.8333	0.0	-0.15	0.0
Qwen3-8B	8.0	saturation	False	0.625	0.1333	0.1	0.0667	-0.2812	0.1
Llama-3.1-8B-Instruct	8.0	drift	False	1.0	0.0	0.9333	0.0	-0.1562	0.0
DeepSeek-V3.1	685.0	plateau	False	1.0	0.0	0.95	0.0	-0.1875	0.0
Nemotron-120B	120.0	collapse	True	0.875	0.55	0.05	0.55	-0.6667	0.55
