experiment	seed	rev_rate_grpo	rev_rate_drgrpo
drgrpo_gsm8k_cot	42	0.642857	0.714286
drgrpo_gsm8k_cot	123	0.678571	0.678571
drgrpo_gsm8k_cot	456	0.714286	0.785714
drgrpo_vs_grpo	42	0.605263	0.500000
drgrpo_vs_grpo	123	0.552632	0.552632
drgrpo_vs_grpo	456	0.657895	0.631579
drgrpo_vs_grpo	789	0.500000	0.631579
drgrpo_vs_grpo	1024	0.552632	0.526316
