task	algo	seed	slope_q10	slope_q50	slope_q90	asymmetry_delta
arithmetic_easy	grpo	42	-0.015227	-0.002801	0.014233	0.02946
arithmetic_easy	grpo	123	-0.009649	0.004132	0.01916	0.028809
arithmetic_easy	grpo	456	-0.009365	0.000388	0.016538	0.025903
arithmetic_easy	grpo	789	-0.015805	-0.007625	0.010449	0.026254
arithmetic_easy	grpo	1024	-0.012139	-0.003245	0.018624	0.030763
arithmetic_easy	dr_grpo	42	-0.014521	0.003894	0.017942	0.032463
arithmetic_easy	dr_grpo	123	-0.007324	0.00636	0.038556	0.04588
arithmetic_easy	dr_grpo	456	-0.01026	0.002981	0.019736	0.029996
arithmetic_easy	dr_grpo	789	-0.017539	-0.006115	0.013865	0.031404
arithmetic_easy	dr_grpo	1024	-0.013379	-0.003616	0.014113	0.027492
gsm8k_cot	grpo	42	0.000328	0.000968	0.002898	0.00257
gsm8k_cot	grpo	123	0.001066	0.001445	0.004143	0.003077
gsm8k_cot	grpo	456	0.001596	0.000872	0.004991	0.003395
gsm8k_cot	dr_grpo	42	-0.0009	-0.001198	0.003577	0.004477
gsm8k_cot	dr_grpo	123	0.000152	-0.000112	0.002847	0.002695
gsm8k_cot	dr_grpo	456	-0.000665	-0.000663	0.003525	0.00419
