# Pillar 2 iter78 per-step EWS features.
# W=10 trailing window; H/M/L at 0.10/0.50 (iter74 cutoffs).
# CUSUM drift k=0.05 (Page 1954 small-shift).
# Source: scripts/zvf_iter78.py
source	method	seed	step	zvf	heldout_acc	held_mean_10	is_failure	h_run	ar1	cusum	variance_ratio	kurtosis	composite_ews
variance_mitigation	grpo	0	0	0.000000	0.004500	0.004500	0	0	0.000000	0.000000	1.000000	0.000000	0.000000
variance_mitigation	grpo	0	1	0.000000	0.004500	0.004500	0	0	0.000000	0.000000	1.000000	0.000000	0.000000
variance_mitigation	grpo	0	2	0.000000	0.004500	0.004500	0	0	0.000000	0.000000	1.000000	0.000000	0.000000
variance_mitigation	grpo	0	3	0.000000	0.006100	0.004900	0	0	0.000000	0.000000	1.000000	0.000000	0.000000
variance_mitigation	grpo	0	4	0.000000	0.006100	0.005140	0	0	0.000000	0.000000	1.000000	0.000000	0.000000
variance_mitigation	grpo	0	5	0.000000	0.006100	0.005300	0	0	0.000000	0.000000	1.000000	0.000000	0.000000
variance_mitigation	grpo	0	6	0.002500	0.021700	0.007643	0	0	-0.166667	0.000000	0.583333	2.166667	0.000000
variance_mitigation	grpo	0	7	0.002500	0.021700	0.009400	0	0	0.733333	0.000000	1.444444	-0.666667	0.733333
variance_mitigation	grpo	0	8	0.002500	0.021700	0.010767	0	0	0.785714	0.000000	1.678571	-1.500000	0.785714
variance_mitigation	grpo	0	9	0.000000	0.037400	0.013430	0	0	0.502488	0.000000	1.607143	-1.238095	0.502488
variance_mitigation	grpo	0	10	0.000000	0.037400	0.016720	0	0	0.502488	0.000000	1.607143	-1.238095	0.502488
variance_mitigation	grpo	0	11	0.000000	0.037400	0.020010	0	0	0.502488	0.000000	1.607143	-1.238095	0.502488
variance_mitigation	grpo	0	12	0.019100	0.041400	0.023700	0	0	-0.341535	0.000000	0.536075	4.496264	0.000000
variance_mitigation	grpo	0	13	0.019100	0.041400	0.027230	0	0	0.715174	0.000000	1.361353	0.139313	0.715174
variance_mitigation	grpo	0	14	0.019100	0.041400	0.030760	0	0	0.756526	0.000000	1.613883	-1.254360	0.756526
variance_mitigation	grpo	0	15	0.000000	0.049200	0.035070	0	0	0.455139	0.000000	1.549233	-1.254360	0.455139
variance_mitigation	grpo	0	16	0.000000	0.049200	0.037820	0	0	0.477219	0.000000	1.582996	-1.253716	0.477219
variance_mitigation	grpo	0	17	0.000000	0.049200	0.040570	0	0	0.496533	0.000000	1.612952	-1.248516	0.496533
variance_mitigation	grpo	0	18	0.000000	0.060700	0.044470	0	0	0.502488	0.000000	1.607143	-1.238095	0.502488
variance_mitigation	grpo	0	19	0.000000	0.060700	0.046800	0	0	0.502488	0.000000	1.607143	-1.238095	0.502488
