G	n_per_step_points	mean_advantage_variance	std_advantage_variance	snr_advantage_variance	snr_ci_low	snr_ci_high
2	120	0.6833305815855663	0.46712474297339757	1.462843901686624	1.2196310917650441	1.8050854088749684
4	120	0.7583299512664478	0.4298863491319278	1.764024265477953	1.4621512045460732	2.2267315359810405
8	120	0.7916625211636226	0.4078170972475926	1.9412195479460024	1.5837718690930658	2.538864575615869
16	120	0.8249947125713031	0.38155781888236984	2.162174831032987	1.724818831060731	2.8569528324851685
