task	algo	side	vals_q0	vals_q_last	page_L	page_Z	page_p_decreasing	spearman_rho	spearman_p
arithmetic_easy	grpo	fwd	0.828446698489595	0.6334897994127967	48.0	0.9098104758908947	0.18146123444254758	-0.3	0.623837664781073
arithmetic_easy	grpo	bwd	0.9898000327523183	0.6009816479145635	52.0	1.1897521607804007	0.11707190869271178	-0.7	0.1881204043741873
arithmetic_easy	grpo	fwd_signed	0.42993855963310884	-0.273777261290336	51.0	1.1197667395580242	0.13140658813837702	-0.6	0.28475697986529386
arithmetic_easy	grpo	bwd_signed	-0.06777159282192274	0.05492490444186573	42.0	0.4898979485566356	0.312103057383203	0.3	0.623837664781073
arithmetic_easy	dr_grpo	fwd	0.8000344269425744	0.34000422589777635	53.0	1.2597375820027772	0.1038820215862204	-0.7999999999999999	0.10408803866182788
arithmetic_easy	dr_grpo	bwd	0.8793020630569922	0.675779604181069	52.0	1.1897521607804007	0.11707190869271178	-0.7	0.1881204043741873
arithmetic_easy	dr_grpo	fwd_signed	0.3828035578961063	-0.0701717833683058	47.0	0.8398250546685182	0.20050324170496192	-0.19999999999999998	0.7470600781046621
arithmetic_easy	dr_grpo	bwd_signed	-0.25828603822512003	0.12497926010184164	36.0	0.06998542122237651	0.47210263168124855	0.8999999999999998	0.03738607346849874
gsm8k_cot	grpo	fwd	0.5589323182342402	0.7312508158571852	45.0	0.6998542122237652	0.24200917735239091	0.0	1.0
gsm8k_cot	grpo	bwd	0.7150209247156759	1.0638544742654765	38.0	0.20995626366712955	0.4168509043445904	0.7	0.1881204043741873
gsm8k_cot	grpo	fwd_signed	0.24662519534652894	0.3794507333693779	44.0	0.6298687910013886	0.2643902166799652	0.09999999999999999	0.8728885715695384
gsm8k_cot	grpo	bwd_signed	0.010337009047213833	-0.1687918417569655	50.0	1.0497813183356477	0.14690933315657428	-0.49999999999999994	0.3910022189557703
gsm8k_cot	dr_grpo	fwd	0.6121460070384414	0.9340603132006146	39.0	0.27994168488950605	0.38976112267013585	0.6	0.28475697986529386
gsm8k_cot	dr_grpo	bwd	1.0364466795388603	0.5560298231144176	52.0	1.1897521607804007	0.11707190869271178	-0.7	0.1881204043741873
gsm8k_cot	dr_grpo	fwd_signed	0.1586978310862495	-0.12640269548665556	45.0	0.6998542122237652	0.24200917735239091	0.0	1.0
gsm8k_cot	dr_grpo	bwd_signed	0.2688187612741506	0.08767420787778359	53.0	1.2597375820027772	0.1038820215862204	-0.7999999999999999	0.10408803866182788
