G	n_points	loglog_slope_b	loglog_intercept_a	residual_sigma	implied_acc_64M
4	4	0.1062	-0.9932	0.0428	0.6848
8	4	0.1215	-1.0132	0.0475	0.8617
16	4	0.1407	-1.1325	0.0537	0.9238
32	4	0.1775	-1.3972	0.0623	0.9731
64	4	0.2202	-1.7329	0.0648	0.9692
