step	G	mu_reward	sigma_A2_emp	mean_zvf_emp	one_minus_zvf_emp	one_minus_zvf_iid	adv_signal_residual
0	2	0.1979	1.0000	0.7292	0.2708	0.3175	-0.0467
0	4	0.2083	1.0000	0.3542	0.6458	0.6053	0.0405
0	8	0.2161	1.0000	0.1875	0.8125	0.8575	-0.0450
0	16	0.1901	1.0000	0.0625	0.9375	0.9657	-0.0282
1	2	0.2396	1.0000	0.6458	0.3542	0.3644	-0.0102
1	4	0.2865	1.0000	0.2708	0.7292	0.7340	-0.0049
1	8	0.3047	1.0000	0.1458	0.8542	0.9453	-0.0911
1	16	0.2448	1.0000	0.0417	0.9583	0.9888	-0.0305
2	2	0.3542	1.0000	0.4583	0.5417	0.4575	0.0842
2	4	0.3906	1.0000	0.2500	0.7500	0.8388	-0.0888
2	8	0.3776	1.0000	0.0417	0.9583	0.9771	-0.0187
2	16	0.3789	1.0000	0.0208	0.9792	0.9995	-0.0203
3	2	0.4688	1.0000	0.5208	0.4792	0.4980	-0.0189
3	4	0.5104	1.0000	0.1458	0.8542	0.8747	-0.0205
3	8	0.5000	1.0000	0.0833	0.9167	0.9922	-0.0755
3	16	0.5026	1.0000	0.0000	1.0000	1.0000	0.0000
4	2	0.5729	1.0000	0.5208	0.4792	0.4894	-0.0102
4	4	0.6094	1.0000	0.2500	0.7500	0.8388	-0.0888
4	8	0.6484	1.0000	0.0208	0.9792	0.9685	0.0107
4	16	0.5990	1.0000	0.0000	1.0000	0.9997	0.0003
5	2	0.5417	1.0000	0.5417	0.4583	0.4965	-0.0382
5	4	0.6458	1.0000	0.2500	0.7500	0.8103	-0.0603
5	8	0.7031	1.0000	0.0625	0.9375	0.9402	-0.0027
5	16	0.7096	1.0000	0.0000	1.0000	0.9959	0.0041
6	2	0.5938	1.0000	0.5208	0.4792	0.4824	-0.0033
6	4	0.7396	1.0000	0.2708	0.7292	0.6962	0.0330
6	8	0.7708	1.0000	0.2292	0.7708	0.8753	-0.1045
6	16	0.7461	1.0000	0.0000	1.0000	0.9908	0.0092
7	2	0.7188	1.0000	0.5625	0.4375	0.4043	0.0332
7	4	0.8073	1.0000	0.5417	0.4583	0.5739	-0.1155
7	8	0.7839	1.0000	0.1875	0.8125	0.8575	-0.0450
7	16	0.8372	1.0000	0.1042	0.8958	0.9417	-0.0459
8	2	0.7604	1.0000	0.5625	0.4375	0.3644	0.0731
8	4	0.8177	1.0000	0.5208	0.4792	0.5518	-0.0726
8	8	0.8724	1.0000	0.3750	0.6250	0.6645	-0.0395
8	16	0.8776	1.0000	0.2292	0.7708	0.8762	-0.1054
9	2	0.7812	1.0000	0.6875	0.3125	0.3418	-0.0293
9	4	0.8698	1.0000	0.6250	0.3750	0.4274	-0.0524
9	8	0.8464	1.0000	0.4167	0.5833	0.7367	-0.1534
9	16	0.8724	1.0000	0.1667	0.8333	0.8874	-0.0541
10	2	0.8125	1.0000	0.6667	0.3333	0.3047	0.0286
10	4	0.8542	1.0000	0.6667	0.3333	0.4672	-0.1339
10	8	0.8490	1.0000	0.4375	0.5625	0.7302	-0.1677
10	16	0.8763	1.0000	0.3750	0.6250	0.8791	-0.2541
11	2	0.7604	1.0000	0.6875	0.3125	0.3644	-0.0519
11	4	0.8490	1.0000	0.6667	0.3333	0.4800	-0.1467
11	8	0.8594	1.0000	0.4583	0.5417	0.7025	-0.1609
11	16	0.8464	1.0000	0.2917	0.7083	0.9307	-0.2224
12	2	0.8646	1.0000	0.7708	0.2292	0.2342	-0.0050
12	4	0.8802	1.0000	0.6250	0.3750	0.3995	-0.0245
12	8	0.9062	1.0000	0.5833	0.4167	0.5450	-0.1284
12	16	0.9036	1.0000	0.4583	0.5417	0.8023	-0.2606
13	2	0.8333	1.0000	0.8333	0.1667	0.2778	-0.1111
13	4	0.8802	1.0000	0.7500	0.2500	0.3995	-0.1495
