# Pillar 2 iter74 ZVF Markov-chain dynamics
# Source: scripts/zvf_iter74.py
method	seed	n_steps	mean_zvf	frac_H	mean_run_L	mean_run_M	mean_run_H	selfloop_H	absorbing_H	exit_halflife_H	last10_acc	n_state_changes
aero	0	100	0.2215	0.23	17.6667	8.0	23.0	1.0	0.23	23	0.3992	6
aero	1	100	0.2185	0.23	57.0	20.0	23.0	1.0	0.23	23	0.3982	2
aero	2	100	0.2219	0.24	13.75	5.25	24.0	1.0	0.24	24	0.4005	8
aero	3	100	0.2178	0.23	18.3333	7.3333	23.0	1.0	0.23	23	0.3987	6
aero	4	100	0.2216	0.23	18.3333	5.5	11.5	0.9545	0.23	21	0.4001	8
areal	0	110	0.1118	0.0545	39.5	8.3333	3.0	0.8	0.0545	5	0.4026	6
areal	1	100	0.1232	0.01	33.5	10.6667	1.0	0.0	0.01	1	0.4057	5
areal	2	100	0.1215	0.04	17.0	4.6667	1.3333	0.3333	0.04	1	0.4042	12
areal	3	100	0.1239	0.05	17.0	5.4	2.5	0.75	0.05	4	0.4046	10
areal	4	100	0.1241	0.03	67.0	15.0	1.5	0.5	0.03	2	0.4038	4
cppo	0	100	0.2951	0.32	15.3333	5.5	16.0	0.9677	0.32	30	0.392	8
cppo	1	100	0.298	0.33	49.0	9.0	16.5	0.9688	0.33	31	0.3916	4
cppo	2	100	0.2964	0.32	15.3333	7.3333	32.0	1.0	0.32	32	0.3912	6
cppo	3	100	0.2946	0.32	11.5	5.5	32.0	1.0	0.32	32	0.3923	8
cppo	4	100	0.2919	0.32	15.6667	7.0	32.0	1.0	0.32	32	0.3926	6
es	0	110	0.1056	0.0	20.0	16.6667	0.0	0.0	0.0	0.0	0.3897	5
es	1	100	0.115	0.0	26.5	23.5	0.0	0.0	0.0	0.0	0.3906	3
es	2	100	0.1163	0.0	17.3333	16.0	0.0	0.0	0.0	0.0	0.3895	5
es	3	100	0.1151	0.0	16.6667	16.6667	0.0	0.0	0.0	0.0	0.3909	5
es	4	100	0.1191	0.0	50.0	50.0	0.0	0.0	0.0	0.0	0.3892	1
gift	0	110	0.1053	0.0455	40.5	8.0	2.5	0.75	0.0455	4	0.4038	6
gift	1	100	0.1176	0.04	17.0	4.6667	1.3333	0.3333	0.04	1	0.4019	12
gift	2	100	0.1157	0.03	16.75	5.0	1.0	0.0	0.03	1	0.4031	12
gift	3	100	0.1151	0.04	35.0	8.6667	4.0	0.75	0.04	4	0.4027	5
gift	4	100	0.1173	0.03	23.6667	6.5	1.5	0.5	0.03	2	0.4012	8
grpo	0	300	0.4813	0.53	28.0	19.0	159.0	1.0	0.53	159	0.3824	6
grpo	1	300	0.4793	0.53	45.0	25.5	159.0	1.0	0.53	159	0.3844	4
grpo	2	300	0.4803	0.52	45.0	27.0	156.0	1.0	0.52	156	0.3831	4
grpo	3	300	0.4806	0.52	45.0	27.0	156.0	1.0	0.52	156	0.3808	4
grpo	4	300	0.4824	0.52	87.0	57.0	156.0	1.0	0.52	156	0.3817	2
mcgrpo	0	110	0.1332	0.1	25.0	6.0	5.5	0.9	0.1	8	0.3962	8
mcgrpo	1	100	0.1525	0.12	31.0	13.0	12.0	1.0	0.12	12	0.3982	4
mcgrpo	2	100	0.1499	0.13	21.0	6.0	6.5	0.9167	0.13	12	0.3972	8
mcgrpo	3	100	0.1441	0.12	32.0	8.0	6.0	0.9091	0.12	11	0.398	6
mcgrpo	4	100	0.1505	0.12	21.3333	8.0	12.0	1.0	0.12	12	0.3972	6
ngrpo	0	100	0.3036	0.35	15.0	6.6667	35.0	1.0	0.35	35	0.3864	6
ngrpo	1	100	0.302	0.34	23.0	6.6667	17.0	0.9697	0.34	33	0.3879	6
ngrpo	2	100	0.2994	0.34	15.3333	6.6667	34.0	1.0	0.34	34	0.3869	6
ngrpo	3	100	0.2975	0.34	23.5	9.5	34.0	1.0	0.34	34	0.3873	4
ngrpo	4	100	0.2993	0.33	23.0	7.0	16.5	0.9688	0.33	32	0.3885	6
scafgrpo	0	100	0.3151	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.4082	0
scafgrpo	1	100	0.3126	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.4099	0
scafgrpo	2	100	0.3131	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.4094	0
scafgrpo	3	100	0.3216	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.4073	0
scafgrpo	4	100	0.3208	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.4093	0
