p_x	n	mean_zvf_ind	mean_pcd
0.0000	19	1.0000	0.0000
0.1250	13	0.0000	0.1094
0.2500	16	0.0000	0.1875
0.3750	33	0.0000	0.2344
0.5000	66	0.0000	0.2500
0.6250	91	0.0000	0.2344
0.7500	141	0.0000	0.1875
0.8750	145	0.0000	0.1094
1.0000	76	1.0000	0.0000
