model	params_B	arch	n_steps	mean_reward	var_reward	peak_val	peak_step	peak_frac	early_mean	late_mean	delta_late_minus_early	zero_frac	phase_score	R_max	lambda	lam_at_bound	t_80	ols_slope_per_step	phase_classifier
Qwen3.5-4B	4.0	dense	30	0.8167	0.0463	1.0	1	0.0345	0.8125	0.85	0.0375	0.0	-0.9999	0.8167	10.0	False	0.1609	-0.000466	plateau
Qwen3-8B	8.0	dense	30	0.2854	0.0288	0.625	13	0.4483	0.2437	0.3438	0.1	0.0667	0.0	0.2959	0.6071	False	2.6508	0.002423	saturation
Llama-3.1-8B-Instruct	8.0	dense	30	0.8688	0.0267	1.0	1	0.0345	0.925	0.8438	-0.0813	0.0	-0.5036	0.8688	10.0	False	0.1609	-0.003433	drift
Qwen3-32B	32.0	dense	3	0.2497	0.0078	0.312	1	0.5	0.312	0.2185	-0.0935	0.0	nan	0.2497	10.0	False	0.1609	-0.044009	drift
Qwen3.5-27B	27.0	dense	3	0.4373	0.1015	0.75	1	0.5	0.656	0.375	-0.281	0.3333	nan	0.4373	10.0	False	0.1609	-0.145767	collapse
gpt-oss-20B	20.0	moe	30	0.8396	0.0372	1.0	15	0.5172	0.8063	0.875	0.0687	0.0	0.0	0.8414	2.7851	False	0.5779	0.002263	saturation
Qwen3-30B-MoE	30.0	moe	5	0.3252	0.0288	0.5	2	0.5	0.313	0.469	0.156	0.0	nan	0.3278	3.2862	False	0.4898	-0.001619	saturation
Qwen3-30B-MoE-Inst	30.0	moe	3	1.0	0.0	1.0	1	0.5	1.0	1.0	0.0	0.0	nan	1.0	10.0	False	0.1609	-0.0	saturation
DeepSeek-V3.1	685.0	moe	20	0.8438	0.0186	1.0	3	0.1579	0.8333	0.8125	-0.0208	0.0	-0.8105	0.8438	5.0391	False	0.3194	-0.004852	plateau
Nemotron-120B	120.0	dense	20	0.175	0.06	0.875	3	0.1579	0.1458	0.2083	0.0625	0.55	-0.9998	2.0	0.0105	False	153.4007	0.029539	plateau
Qwen3-235B-MoE	235.0	moe	4	1.0	0.0	1.0	1	0.3333	1.0	1.0	0.0	0.0	nan	1.0	10.0	False	0.1609	0.0	saturation
Kimi-K2-Thinking	1000.0	moe	20	0.85	0.0291	1.0	1	0.0526	0.9375	0.75	-0.1875	0.0	-0.365	0.8499	10.0	False	0.1609	-0.011155	drift
