task	spearman_sever_vs_bwd_GR	spearman_p_param	p_perm_two_sided	null_mean	null_std	null_q025	null_q500	null_q975	n_points	B_perm	mean_sever	mean_bwd_GR
arithmetic_easy	0.4992481203007519	0.02502186460901794	0.02621947561048779	-0.0009637894736842105	0.22858384424903558	-0.4451127819548871	-0.0015037593984962405	0.4421052631578947	20	50000	-0.11009807210718374	0.7526958773648297
gsm8k_cot	0.5594405594405596	0.05858947538856764	0.0622787544249115	0.0006671328671328672	0.3007336245526495	-0.5804195804195805	0.0	0.5804195804195805	12	50000	0.15422812134614705	0.9651800877821817
