T_tokens	G_best_acc	best_acc	best_acc_ci_low	best_acc_ci_high
1000000	8	0.48	0.45	0.51
4000000	16	0.69	0.66	0.72
16000000	32	0.84	0.81	0.87
64000000	32	0.88	0.85	0.91
