metric	value
n_budgets	4
T_min_M	1.0
T_max_M	64.0
R_T1M	0.9761904761904762
R_T4M	0.8333333333333334
R_T16M	0.75
R_T64M	0.7272727272727273
R_drop_T1M_to_T64M	0.24891774891774887
R_drop_relative_pct	25.49889135254989
linear_R2	0.9052062256235526
power_R2	0.9281529997912537
asymptotic_R2	0.5924958851558334
linear_AIC	-24.043744922326248
power_AIC	-25.152404422585054
asymptotic_AIC	-16.210355744578173
best_AIC_form	power
best_AIC_value	-25.152404422585054
linear_R_at_T256M_point	0.6141774891774896
power_R_at_T256M_point	0.6374713197717574
asymptotic_R_infinity_point	0.72
asymptotic_R_at_T256M_point	0.7200004473304514
linear_R_at_T256M_BCa_lo	0.5601225602429487
linear_R_at_T256M_BCa_hi	0.7300011813739826
power_R_at_T256M_BCa_lo	0.5896916319838291
power_R_at_T256M_BCa_hi	0.7333174421765057
asymptotic_R_infinity_BCa_lo	0.0
asymptotic_R_infinity_BCa_hi	0.77
HARD_DIVERGENCE_at_T256M_CI_low_gt_0p05	True
LIMIT_EQUIVALENCE_Rinf_CI_low_gt_0p10	False
n_bootstrap	2000
