task	metric	grpo_mean	grpo_median	drgrpo_mean	drgrpo_median	diff_grpo_minus_drgrpo	diff_lo	diff_hi	p_le0
arithmetic_easy	lam_ratio (L/R)	1.1271	1.2305	1.4051	1.3731	-0.278	-0.447	-0.0606	0.9948
gsm8k_cot	lam_ratio (L/R)	0.1567	0.0007	0.1858	0.0006	-0.0291	-0.0877	0.0003	0.7145
