feature	collapse_mean	noncollapse_mean	noncollapse_max	noncollapse_min	collapse_minus_rest
zvf_level	0.3333	0.056063636363636364	0.55	0.0	0.2772363636363636
zvf_instability	0.5	0.2942	0.5172	0.0345	0.20579999999999998
zvf_slope	-0.145767	-0.0028462727272727277	0.029539	-0.044009	-0.14292072727272728
zvf_direction	-0.281	0.0037818181818181844	0.156	-0.1875	-0.2847818181818182
zvf_discriminator	0.3333	0.05233227272727273	0.515625	0.0	0.28096772727272723
