G	seed	threshold	first_step	reached	last_step_mean_reward
2	42	0.5	4	yes	1.0
2	42	0.8	10	yes	1.0
2	42	0.95	15	yes	1.0
2	123	0.5	2	yes	1.0
2	123	0.8	8	yes	1.0
2	123	0.95	15	yes	1.0
2	456	0.5	4	yes	0.9688
2	456	0.8	7	yes	0.9688
2	456	0.95	16	yes	0.9688
4	42	0.5	3	yes	0.9844
4	42	0.8	8	yes	0.9844
4	42	0.95	14	yes	0.9844
4	123	0.5	4	yes	1.0
4	123	0.8	7	yes	1.0
4	123	0.95	15	yes	1.0
4	456	0.5	3	yes	1.0
4	456	0.8	7	yes	1.0
4	456	0.95	14	yes	1.0
8	42	0.5	3	yes	1.0
8	42	0.8	7	yes	1.0
8	42	0.95	14	yes	1.0
8	123	0.5	4	yes	0.9922
8	123	0.8	6	yes	0.9922
8	123	0.95	15	yes	0.9922
8	456	0.5	3	yes	0.9688
8	456	0.8	6	yes	0.9688
8	456	0.95	14	yes	0.9688
16	42	0.5	4	yes	1.0
16	42	0.8	7	yes	1.0
16	42	0.95	14	yes	1.0
16	123	0.5	3	yes	1.0
16	123	0.8	7	yes	1.0
16	123	0.95	15	yes	1.0
16	456	0.5	3	yes	0.9922
16	456	0.8	8	yes	0.9922
16	456	0.95	14	yes	0.9922
