task	algo	mean	lo	hi	n
arithmetic_easy	dr_grpo	-0.1035648536173388	-0.17765347906393042	-0.026978473952377374	5
arithmetic_easy	grpo	0.027835061549634554	-0.05122666960646986	0.0933813800705221	5
gsm8k_cot	dr_grpo	-0.11945453522596221	-0.3021136365117332	0.0805439257909921	3
gsm8k_cot	grpo	-0.07632809374258644	-0.22773288345045004	0.09209114155235221	3
