anchor	best_r2_sat	best_r2_const	delta_sat_minus_const	sat_beats_const
Qwen3.5-4B	-3.194336896217287e-05	-0.0007698229407235857	0.0007378795717614128	yes
Qwen3-8B	-5.084738025296076e-06	-0.0033333333333334103	0.0033282485953081142	yes
Llama-3.1-8B-Instruct	-0.0018037926759322254	-0.03495145631067942	0.03314766363474719	yes
gpt-oss-20B	-0.00014203970774695485	-0.0410256410256411	0.04088360131789415	yes
DeepSeek-V3.1	-3.583680019403346e-10	-0.004926108374384119	0.0049261080160161175	yes
Nemotron-120B	-0.0006546910127542827	-0.04166666666666652	0.041011975653912236	yes
Kimi-K2-Thinking	-0.24244185238407923	-0.08503401360544216	-0.15740783877863707	no
# Aggregate: saturation beats constant-last on 6/7 anchors
