# Iter 30 Pillar 2: 5-bin calibration of trailing_mean_25
# under leave-one-(method, seed)-out CV, by horizon K.
# horizon_K	bin_idx	n	mean_conf	empirical_acc
5	0	4079	0.024	0.031
5	1	180	0.293	0.139
5	2	127	0.472	0.504
5	3	114	0.7	0.632
10	0	3892	0.043	0.054
10	1	176	0.283	0.267
10	2	137	0.503	0.321
10	3	164	0.699	0.701
10	4	131	0.885	0.718
25	0	2848	0.053	0.051
25	1	480	0.304	0.456
25	2	306	0.495	0.294
25	3	318	0.687	0.701
25	4	548	0.956	0.927
