task	algo	seed	n_steps	slope_L_per_step	slope_R_per_step	rho_L_ZVF	p_L_ZVF	rho_L_R	p_L_R	rho_Lres_ZVF	p_Lres_ZVF	mean_ZVF	mean_L
gsm8k_cot	grpo	42	30	-0.8815976084538376	0.0023428809788654066	0.27961399429086004	0.1345322683377429	-0.5070246716735751	0.0042427426540361055	0.1055405762764521	0.5788532246711049	0.30416666666666664	186.31979166666667
gsm8k_cot	grpo	123	30	-0.4293694382647386	-0.0007056451612903225	0.2306649959967875	0.22007064780057042	-0.24068552222349435	0.20012156785521487	0.3197699447979298	0.08496298000772975	0.3333333333333333	189.63697916666666
gsm8k_cot	grpo	456	30	-0.1310171023359288	0.0008203559510567297	0.34837178956054843	0.05921177823299425	-0.756324176088382	1.3346002361918471e-06	0.2224486975200579	0.2374022022533424	0.36666666666666664	191.9953125
gsm8k_cot	dr_grpo	42	30	-0.31806868743047834	0.0013382925472747496	0.14804361939030605	0.4349613749863514	-0.6078540625838093	0.0003667323794049296	0.10610556621936795	0.5768110105964687	0.32083333333333336	190.64583333333334
gsm8k_cot	dr_grpo	123	30	-0.27682842046718575	-0.00012166295884315917	0.18924389314056436	0.31654859661270257	-0.5053568780922695	0.004391509695558909	0.27456638550246504	0.14200905212685902	0.35	190.16875
gsm8k_cot	dr_grpo	456	30	-0.054157397107897666	0.00030241935483870953	0.22512077505916347	0.2316686205612282	-0.7410498869221173	2.8171507447146764e-06	0.2292768509064096	0.22293682515447766	0.39166666666666666	192.87708333333333
arithmetic_easy	grpo	42	40	-0.027657422607879924	0.008662640712945592	-0.28680882568808425	0.07276106932843168	-0.28090762921551166	0.07911808469550134	0.04909966507447127	0.763515126203694	0.825	4.744140625
arithmetic_easy	grpo	123	40	-0.025686708489681045	0.008399536819887428	-0.3748928564908488	0.01714885688247328	-0.36350066002009496	0.02113438247689824	0.031844725886836546	0.8453408369740106	0.8109375	4.7501953125
arithmetic_easy	grpo	456	40	-0.0283499941369606	0.008617202157598501	-0.33674994741527503	0.033607186112294046	-0.29089145821935475	0.06860307375254401	0.21006678486858193	0.1932507179879933	0.809375	4.6841796875
arithmetic_easy	grpo	789	40	-0.030569887429643533	0.008597414399624765	-0.5550619763289317	0.0002013652619039433	-0.5249774180632587	0.0005053286388693386	0.1860008256357724	0.2505016462452785	0.8125	4.746875
arithmetic_easy	grpo	1024	40	-0.03609653494371482	0.00901002579737336	-0.6934914191701557	7.020813786622158e-07	-0.6353529106766506	1.06058680005919e-05	-0.15918271684920052	0.32653851574752196	0.8171875	4.7857421875
arithmetic_easy	dr_grpo	42	40	-0.025846476313320835	0.009844776031894932	-0.10153127124630267	0.5330268549268932	-0.11040366331996385	0.4976510752787925	0.09327941777214208	0.5669872874121105	0.7703125	4.7166015625
arithmetic_easy	dr_grpo	123	40	-0.02305640243902439	0.009857234990619138	-0.07878201419006159	0.6289440933845933	-0.1097953802413571	0.5000374628847067	0.18671408152685265	0.24865702895265174	0.7640625	4.6796875
arithmetic_easy	dr_grpo	456	40	-0.025240384615384616	0.009957639540337713	-0.3350972417089409	0.0345429607057251	-0.2981341091588712	0.061689942559139906	0.2104011656543819	0.1925265546694063	0.746875	4.70390625
arithmetic_easy	dr_grpo	789	40	-0.029055757504690426	0.009949577861163229	-0.4327765811918323	0.00528417357723739	-0.451107105770621	0.0034836097583765863	0.14921857398027757	0.35810887072847414	0.771875	4.74296875
arithmetic_easy	dr_grpo	1024	40	-0.029034503986866793	0.00924747889305816	-0.5085510210685245	0.0008063732223453652	-0.4946778579646554	0.0011754573685063404	0.0508505846340326	0.7553362973716864	0.8125	4.7228515625
