model	params_B	arch	n_steps	tau_hat	tau_lo_2p5	tau_hi_97p5	pre_mean	post_mean	tau_contrast	early_minus_late_delta	peak_step	peak_val	peak_minus_late	zero_frac	contrast_obs	perm_p
Qwen3.5-4B	4.0	dense	30	27	2	28	0.7962962962962963	1.0	0.20370370370370372	0.006249999999999978	1	1.0	0.18125000000000002	0.0	0.20370370370370372	0.4929014197160568
Qwen3-8B	8.0	dense	30	28	2	28	0.2767857142857143	0.40625	0.1294642857142857	0.06250000000000003	13	0.625	0.31875	0.06666666666666667	0.1294642857142857	0.789242151569686
Llama-3.1-8B-Instruct	8.0	dense	30	5	2	28	0.975	0.8475	-0.12749999999999995	-0.08437500000000009	1	1.0	0.15937500000000004	0.0	0.12749999999999995	0.7416516696660668
DeepSeek-V3.1	685.0	MoE	20	15	2	18	0.8666666666666667	0.775	-0.09166666666666667	0.014880952380952328	3	1.0	0.1517857142857143	0.0	0.09166666666666667	0.9094181163767247
Nemotron-120B	120.0	dense	20	18	2	18	0.1388888888888889	0.5	0.3611111111111111	0.04166666666666666	3	0.875	0.6875	0.55	0.3611111111111111	0.1365726854629074
