model	params_B	family	n_steps	n_violations	n_pairs	violation_rate	max_drop	max_drop_loc	cp_k	cp_bic	cp_rss	cp_means	cp_pattern	binom_p_vs_0p05	monotone
Qwen3.5-4B	4.0	dense-instruct	30	166	435	0.3816	0.7500	0	3	-86.7683	1.0570	0.8417;0.2500;0.8304	non_monotone	0.0000	0
Qwen3-8B	8.0	dense-base	30	172	435	0.3954	0.6250	12	1	-99.5942	0.8647	0.2854	monotone	0.0000	0
Llama-3.1-8B-Instruct	8.0	dense-instruct	30	201	435	0.4621	0.6250	0	3	-109.8982	0.4889	0.9292;0.3750;0.8393	non_monotone	0.0000	0
DeepSeek-V3.1	685.0	moe-instruct	20	69	190	0.3632	0.5000	2	3	-76.0574	0.2451	0.8667;0.5000;0.8438	non_monotone	0.0000	0
Nemotron-120B	120.0	dense-base	20	55	190	0.2895	0.8750	2	3	-56.8093	0.6415	0.0000;0.8750;0.1544	non_monotone	0.0000	0
