method	seed	lag	r	n_pairs
aero	0	-10	0.630770	90
aero	0	-5	0.645105	95
aero	0	-1	0.668224	99
aero	0	0	0.667421	100
aero	0	1	0.671990	99
aero	0	5	0.691645	95
aero	0	10	0.718532	90
aero	1	-10	0.609414	90
aero	1	-5	0.626263	95
aero	1	-1	0.639789	99
aero	1	0	0.647506	100
aero	1	1	0.648025	99
aero	1	5	0.666837	95
aero	1	10	0.713654	90
aero	2	-10	0.612334	90
aero	2	-5	0.642503	95
aero	2	-1	0.660531	99
aero	2	0	0.667922	100
aero	2	1	0.679278	99
aero	2	5	0.706046	95
aero	2	10	0.738379	90
aero	3	-10	0.653906	90
aero	3	-5	0.664499	95
aero	3	-1	0.676839	99
aero	3	0	0.676613	100
aero	3	1	0.677839	99
aero	3	5	0.700118	95
aero	3	10	0.727353	90
aero	4	-10	0.630535	90
aero	4	-5	0.659113	95
aero	4	-1	0.682042	99
aero	4	0	0.679552	100
aero	4	1	0.687759	99
aero	4	5	0.723541	95
aero	4	10	0.752989	90
areal	0	-10	0.499371	100
areal	0	-5	0.527779	105
areal	0	-1	0.561794	109
areal	0	0	0.572623	110
areal	0	1	0.575984	109
areal	0	5	0.602075	105
areal	0	10	0.632053	100
areal	1	-10	0.483170	90
areal	1	-5	0.514501	95
areal	1	-1	0.541631	99
areal	1	0	0.552246	100
areal	1	1	0.543387	99
areal	1	5	0.568701	95
areal	1	10	0.602484	90
areal	2	-10	0.533543	90
areal	2	-5	0.573050	95
areal	2	-1	0.579426	99
areal	2	0	0.594244	100
areal	2	1	0.596383	99
areal	2	5	0.609337	95
areal	2	10	0.637107	90
areal	3	-10	0.533476	90
areal	3	-5	0.550206	95
areal	3	-1	0.566933	99
areal	3	0	0.578288	100
areal	3	1	0.579587	99
areal	3	5	0.592273	95
areal	3	10	0.635468	90
areal	4	-10	0.516003	90
areal	4	-5	0.532384	95
areal	4	-1	0.547461	99
areal	4	0	0.557604	100
areal	4	1	0.559517	99
areal	4	5	0.576335	95
areal	4	10	0.612585	90
cppo	0	-10	0.701010	90
cppo	0	-5	0.730575	95
cppo	0	-1	0.757087	99
cppo	0	0	0.767479	100
cppo	0	1	0.773270	99
cppo	0	5	0.791282	95
cppo	0	10	0.832375	90
cppo	1	-10	0.700712	90
cppo	1	-5	0.724128	95
cppo	1	-1	0.732334	99
cppo	1	0	0.734045	100
cppo	1	1	0.741712	99
cppo	1	5	0.769533	95
cppo	1	10	0.799024	90
cppo	2	-10	0.701857	90
cppo	2	-5	0.722603	95
cppo	2	-1	0.726895	99
cppo	2	0	0.734747	100
cppo	2	1	0.742167	99
cppo	2	5	0.764477	95
cppo	2	10	0.793382	90
cppo	3	-10	0.704158	90
cppo	3	-5	0.725214	95
cppo	3	-1	0.732155	99
cppo	3	0	0.736844	100
cppo	3	1	0.747568	99
cppo	3	5	0.764230	95
cppo	3	10	0.784031	90
cppo	4	-10	0.661799	90
cppo	4	-5	0.692948	95
cppo	4	-1	0.707635	99
cppo	4	0	0.714960	100
cppo	4	1	0.723452	99
cppo	4	5	0.749105	95
