G	ceiling_a	ceiling_ci_lo	ceiling_ci_hi	half_sat_T_M	fit_r2	acc_at_T64M	headroom_to_ceiling_at_T64M
4	0.6455	0.6240	0.6682	0.593	0.9933	0.6396	0.0059
8	0.8066	0.7836	0.8298	0.705	0.9945	0.7978	0.0088
16	0.8578	0.8354	0.8824	0.858	0.9957	0.8465	0.0113
32	0.8929	0.8677	0.9181	1.208	0.9923	0.8764	0.0165
64	0.8833	0.8565	0.9109	1.750	0.9871	0.8597	0.0235
