method	seed	n_steps_total	peak_step	peak_heldout_acc	n_steps_phase1	n_steps_phase2	n_steps_phase3	int_phase1	int_phase2	int_phase3	zvf_mean_phase2	zvf_mean_phase3
aero	0	100	99	0.4050	100	0	0	0.030014	nan	nan	nan	nan
aero	1	100	95	0.4058	96	4	0	0.024644	0.184675	nan	0.684675	nan
aero	2	100	98	0.4109	99	1	0	0.031333	0.178200	nan	0.678200	nan
aero	3	100	99	0.4059	100	0	0	0.032477	nan	nan	nan	nan
aero	4	100	97	0.4059	98	2	0	0.027086	0.226200	nan	0.726200	nan
areal	0	110	98	0.4083	109	1	0	0.000923	0.024000	nan	0.524000	nan
areal	1	100	99	0.4107	100	0	0	0.000149	nan	nan	nan	nan
areal	2	100	99	0.4113	100	0	0	0.001381	nan	nan	nan	nan
areal	3	100	96	0.4092	97	3	0	0.001100	0.042000	nan	0.542000	nan
areal	4	100	97	0.4109	98	2	0	0.000884	0.036650	nan	0.531350	nan
cppo	0	100	95	0.3968	96	4	0	0.056901	0.263575	nan	0.763575	nan
cppo	1	100	96	0.4008	97	3	0	0.062202	0.279767	nan	0.779767	nan
cppo	2	100	99	0.3978	100	0	0	0.064845	nan	nan	nan	nan
cppo	3	100	97	0.3993	98	2	0	0.060441	0.272500	nan	0.772500	nan
cppo	4	100	98	0.4052	99	1	0	0.060253	0.285600	nan	0.785600	nan
es	0	110	98	0.3966	109	1	0	0.000000	0.000000	nan	0.224200	nan
es	1	100	98	0.3978	99	1	0	0.000000	0.000000	nan	0.246400	nan
es	2	100	98	0.3954	99	1	0	0.000000	0.000000	nan	0.247600	nan
es	3	100	99	0.3992	100	0	0	0.000000	nan	nan	nan	nan
es	4	100	98	0.3955	99	1	0	0.000000	0.000000	nan	0.244900	nan
gift	0	110	99	0.4153	110	0	0	0.000918	nan	nan	nan	nan
gift	1	100	99	0.4081	100	0	0	0.001019	nan	nan	nan	nan
gift	2	100	95	0.4112	96	4	0	0.000345	0.012675	nan	0.497725	nan
gift	3	100	99	0.4100	100	0	0	0.000997	nan	nan	nan	nan
gift	4	100	98	0.4047	99	1	0	0.000354	0.078900	nan	0.578900	nan
grpo	0	300	98	0.3844	297	3	0	0.159153	0.362200	nan	0.862200	nan
grpo	1	300	97	0.3862	294	6	0	0.152359	0.371900	nan	0.871900	nan
grpo	2	300	97	0.3860	294	6	0	0.152878	0.364700	nan	0.864700	nan
grpo	3	300	98	0.3869	297	3	0	0.155922	0.426700	nan	0.926700	nan
grpo	4	300	99	0.3840	300	0	0	0.165202	nan	nan	nan	nan
mcgrpo	0	110	95	0.4044	106	4	0	0.003468	0.100850	nan	0.600850	nan
mcgrpo	1	100	93	0.4054	94	6	0	0.002936	0.075567	nan	0.575567	nan
mcgrpo	2	100	99	0.4053	100	0	0	0.007961	nan	nan	nan	nan
mcgrpo	3	100	97	0.4032	98	2	0	0.007001	0.088100	nan	0.588100	nan
mcgrpo	4	100	99	0.4018	100	0	0	0.008383	nan	nan	nan	nan
ngrpo	0	100	98	0.3931	99	1	0	0.061102	0.255000	nan	0.755000	nan
ngrpo	1	100	99	0.3981	100	0	0	0.062777	nan	nan	nan	nan
ngrpo	2	100	97	0.3907	98	2	0	0.058613	0.224250	nan	0.724250	nan
ngrpo	3	100	99	0.3941	100	0	0	0.061216	nan	nan	nan	nan
ngrpo	4	100	99	0.3962	100	0	0	0.060869	nan	nan	nan	nan
scafgrpo	0	100	98	0.4138	99	1	0	0.000000	0.000000	nan	0.417300	nan
scafgrpo	1	100	99	0.4150	100	0	0	0.000000	nan	nan	nan	nan
scafgrpo	2	100	99	0.4190	100	0	0	0.000000	nan	nan	nan	nan
scafgrpo	3	100	98	0.4119	99	1	0	0.000000	0.000000	nan	0.424100	nan
scafgrpo	4	100	96	0.4156	97	3	0	0.000000	0.000000	nan	0.401833	nan
