T_tokens	G4_acc	G32_acc	empirical_R	structural_R_Y_times_steps	noise_residual	log_R_emp	log_structural_R	log_noise	is_structural_overestimate
1000000	0.41	0.42	0.9761904761904762	4.275706214689441	-0.7716890667472156	-0.02409755157906053	1.4529492851638803	-1.4770468367429408	yes
4000000	0.55	0.66	0.8333333333333334	4.275706214689441	-0.805100422832989	-0.1823215567939546	1.4529492851638803	-1.6352708419578352	yes
16000000	0.63	0.84	0.75	4.275706214689441	-0.8245903805496901	-0.2876820724517809	1.4529492851638803	-1.7406313576156618	yes
64000000	0.64	0.88	0.7272727272727273	4.275706214689441	-0.8299058235633359	-0.3184537311185346	1.4529492851638803	-1.7714030162824153	yes
structural_constants				4.275706214689441	Y4=0.2365		1.4529492851638803	Y32=0.4425	
log_decomposition							log_steps=2.0794	log_Y=-0.6265	
