G_a	G_b	n_budgets	AIC_exp	AIC_sig	winner	delta_AIC_sig_minus_exp
4	8	4	-16.026	-22.101	sig	-6.075
4	16	4	-16.87	-15.751	exp	1.119
4	32	4	-26.251	-9.739	exp	16.512
4	64	4	-13.878	-5.272	exp	8.605
8	16	4	-29.9	-18.933	exp	10.967
8	32	4	-15.86	-10.191	exp	5.668
8	64	4	-8.332	-4.94	exp	3.393
16	32	4	-17.29	-13.439	exp	3.85
16	64	4	-8.845	-6.536	exp	2.309
32	64	4	-12.856	-11.83	exp	1.025
