experiment	seed	fds	n_steps
drgrpo_gsm8k_cot	42	3	30
drgrpo_gsm8k_cot	123	6	30
drgrpo_gsm8k_cot	456	22	30
drgrpo_vs_grpo	42	39	40
drgrpo_vs_grpo	123	39	40
drgrpo_vs_grpo	456	39	40
drgrpo_vs_grpo	789	3	40
drgrpo_vs_grpo	1024	2	40
