task	algo	n_seeds	mean_step_len_rho	ci_step_len_lo	ci_step_len_hi	mean_step_reward_rho	ci_step_reward_lo	ci_step_reward_hi	mean_len_reward_rho	ci_len_reward_lo	ci_len_reward_hi
arithmetic_easy_qwen2.5-0.5b	grpo	5	-0.4046	-0.5409	-0.2693	0.7093	0.6483	0.7706	-0.4191	-0.5444	-0.3014
arithmetic_easy_qwen2.5-0.5b	dr_grpo	5	-0.307	-0.4409	-0.1654	0.7526	0.6859	0.7988	-0.2928	-0.4379	-0.1477
arithmetic_easy_qwen2.5-0.5b	drgrpo_minus_grpo	5	0.0976	0.0748	0.1203	0.0433	-0.0242	0.1117	0.1263	0.0446	0.2011
gsm8k_cot_hard_qwen2.5-1.5b	grpo	3	-0.6217	-0.8643	-0.285	0.0456	-0.1334	0.1824	-0.5013	-0.7563	-0.2407
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	3	-0.355	-0.5519	-0.0674	0.0253	-0.0685	0.1133	-0.6181	-0.741	-0.5054
gsm8k_cot_hard_qwen2.5-1.5b	drgrpo_minus_grpo	3	0.2667	0.1638	0.4187	-0.0203	-0.0691	0.0649	-0.1168	-0.2647	0.0153
