# Signed ZVF decomposition (iter58). ZVF- all-wrong starvation, ZVF+ all-correct saturation. exact=per-group (gsm8k); odds=i.i.d. sign-split of logged (zvf,reward,G).
# GSM8K anchor: exact ZVF-=0.0317 vs odds-split ZVF- at aggregate acc=0.0003 (odds-split lower-bounds ZVF- for high-acc runs; difficulty heterogeneity concentrates all-wrong mass).
source	label	G	acc	raw_zvf	zvf_neg	zvf_pos	method	outcome
gsm8k	s123	8	0.7125	0.1900	0.0300	0.1600	exact	converged
gsm8k	s42	8	0.6969	0.1300	0.0250	0.1050	exact	converged
gsm8k	s456	8	0.6731	0.1550	0.0400	0.1150	exact	converged
variance_mitigation	grpo	8	0.3912	0.4808	0.4701	0.0107	odds	plateau
variance_mitigation	aero	8	0.4281	0.2203	0.2020	0.0183	odds	plateau
variance_mitigation	cppo	8	0.4180	0.2952	0.2778	0.0174	odds	plateau
variance_mitigation	ngrpo	8	0.4150	0.3003	0.2866	0.0138	odds	plateau
variance_mitigation	scafgrpo	8	0.4406	0.3166	0.2996	0.0170	odds	plateau
variance_mitigation	mcgrpo	8	0.4278	0.1461	0.1341	0.0120	odds	plateau
variance_mitigation	gift	8	0.4371	0.1142	0.1026	0.0116	odds	plateau
variance_mitigation	areal	8	0.4333	0.1209	0.1092	0.0117	odds	plateau
variance_mitigation	es	8	0.4176	0.1142	0.1083	0.0060	odds	plateau
groupsize_sweep	G2	2	0.9771	0.8380	0.0722	0.7658	odds	converged
groupsize_sweep	G4	4	0.9714	0.7635	0.0247	0.7389	odds	converged
groupsize_sweep	G8	8	0.9732	0.6906	0.0106	0.6800	odds	converged
groupsize_sweep	G16	16	0.9837	0.6312	0.0031	0.6281	odds	converged
drgrpo_cot	grpo	8	0.2646	0.3347	0.3270	0.0077	odds	drift
drgrpo_cot	dr_grpo	8	0.2521	0.3542	0.3472	0.0070	odds	drift
tool_use	qwen3-32b	8	0.0000	1.0000	1.0000	0.0000	odds	collapse
tool_use	llama-8b-inst	8	0.0000	1.0000	1.0000	0.0000	odds	collapse
