# Pillar 2 empirical Iso-G sizing (vs theoretical iid iso-G).
# Bins: 10 even-width bins over p in [0, 1]. mean_delta_div from
# zvf_contrastive_yield.tsv for that bin. G_empirical = smallest G
# such that 1 - (iid(p, G) - mean_delta_div)_clipped >= Y_target.
# delta_G > 0 means the empirical sampler NEEDS MORE rollouts than
# the iid theory assumes (herding regime); delta_G < 0 means
# FEWER (anti-herding regime). This is the directly testable
# prediction the Contrastive Yield framing licenses.
# Source: scripts/zvf_antiherding_elevation.py
source	p_lo	p_hi	p_mean	mean_delta_div	n	Y_target	G_iid	G_empirical	delta_G
groupsize_zvf_sweep	0.1000	0.2000	0.1704	0.0112	8	0.60	5	5	0
groupsize_zvf_sweep	0.1000	0.2000	0.1704	0.0112	8	0.80	9	9	0
groupsize_zvf_sweep	0.1000	0.2000	0.1704	0.0112	8	0.95	17	15	-2
groupsize_zvf_sweep	0.2000	0.3000	0.2419	-0.0272	13	0.60	4	4	0
groupsize_zvf_sweep	0.2000	0.3000	0.2419	-0.0272	13	0.80	6	7	1
groupsize_zvf_sweep	0.2000	0.3000	0.2419	-0.0272	13	0.95	11	14	3
groupsize_zvf_sweep	0.3000	0.4000	0.3529	-0.0164	12	0.60	3	3	0
groupsize_zvf_sweep	0.3000	0.4000	0.3529	-0.0164	12	0.80	4	5	1
groupsize_zvf_sweep	0.3000	0.4000	0.3529	-0.0164	12	0.95	7	8	1
groupsize_zvf_sweep	0.4000	0.5000	0.4463	-0.0229	8	0.60	2	3	1
groupsize_zvf_sweep	0.4000	0.5000	0.4463	-0.0229	8	0.80	3	4	1
groupsize_zvf_sweep	0.4000	0.5000	0.4463	-0.0229	8	0.95	6	7	1
groupsize_zvf_sweep	0.5000	0.6000	0.5377	-0.0022	17	0.60	2	3	1
groupsize_zvf_sweep	0.5000	0.6000	0.5377	-0.0022	17	0.80	3	4	1
groupsize_zvf_sweep	0.5000	0.6000	0.5377	-0.0022	17	0.95	5	6	1
groupsize_zvf_sweep	0.6000	0.7000	0.6573	-0.0222	18	0.60	3	3	0
groupsize_zvf_sweep	0.6000	0.7000	0.6573	-0.0222	18	0.80	4	5	1
groupsize_zvf_sweep	0.6000	0.7000	0.6573	-0.0222	18	0.95	8	9	1
groupsize_zvf_sweep	0.7000	0.8000	0.7593	-0.0168	24	0.60	4	4	0
groupsize_zvf_sweep	0.7000	0.8000	0.7593	-0.0168	24	0.80	6	7	1
groupsize_zvf_sweep	0.7000	0.8000	0.7593	-0.0168	24	0.95	11	13	2
groupsize_zvf_sweep	0.8000	0.9000	0.8589	-0.1762	70	0.60	7	10	3
groupsize_zvf_sweep	0.8000	0.9000	0.8589	-0.1762	70	0.80	11	25	14
groupsize_zvf_sweep	0.9000	1.0000	0.9603	-0.0877	208	0.60	23	29	6
groupsize_zvf_sweep	0.9000	1.0000	0.9603	-0.0877	208	0.80	40	55	15
groupsize_zvf_sweep_agg	0.8000	0.9000	0.8612	-0.2994	12	0.60	7	16	9
tinker_gsm8k	0.1000	0.2000	0.1250	0.3436	13	0.60	7	3	-4
tinker_gsm8k	0.1000	0.2000	0.1250	0.3436	13	0.80	13	5	-8
tinker_gsm8k	0.1000	0.2000	0.1250	0.3436	13	0.95	23	7	-16
tinker_gsm8k	0.2000	0.3000	0.2500	0.1001	16	0.60	4	3	-1
tinker_gsm8k	0.2000	0.3000	0.2500	0.1001	16	0.80	6	5	-1
tinker_gsm8k	0.2000	0.3000	0.2500	0.1001	16	0.95	11	7	-4
tinker_gsm8k	0.3000	0.4000	0.3750	0.0237	33	0.60	2	3	1
tinker_gsm8k	0.3000	0.4000	0.3750	0.0237	33	0.80	4	4	0
tinker_gsm8k	0.3000	0.4000	0.3750	0.0237	33	0.95	7	6	-1
tinker_gsm8k	0.5000	0.6000	0.5000	0.0078	66	0.60	2	3	1
tinker_gsm8k	0.5000	0.6000	0.5000	0.0078	66	0.80	3	4	1
tinker_gsm8k	0.5000	0.6000	0.5000	0.0078	66	0.95	5	6	1
tinker_gsm8k	0.6000	0.7000	0.6250	0.0237	91	0.60	2	3	1
tinker_gsm8k	0.6000	0.7000	0.6250	0.0237	91	0.80	4	4	0
tinker_gsm8k	0.6000	0.7000	0.6250	0.0237	91	0.95	7	6	-1
tinker_gsm8k	0.7000	0.8000	0.7500	0.1001	141	0.60	4	3	-1
tinker_gsm8k	0.7000	0.8000	0.7500	0.1001	141	0.80	6	5	-1
tinker_gsm8k	0.7000	0.8000	0.7500	0.1001	141	0.95	11	7	-4
tinker_gsm8k	0.8000	0.9000	0.8750	0.3436	145	0.60	7	3	-4
tinker_gsm8k	0.8000	0.9000	0.8750	0.3436	145	0.80	13	5	-8
tinker_gsm8k	0.8000	0.9000	0.8750	0.3436	145	0.95	23	7	-16
