model	params_B	n_steps	mean_reward	var_reward	peak	R_max_canonical	lambda_canonical	t_80_canonical	rmse_canonical	r2_canonical	lam_at_bound	phase_pred_from_bound	trace_file
Qwen3.5-4B	4.0	30	0.8167	0.0463	1.0000	0.8167	10.0000	0.1609	0.2153	-0.0000	True	unidentifiable	scale_gsm8k_qwen3.5-4b.json
Qwen3-8B	8.0	30	0.2854	0.0288	0.6250	0.2854	10.0000	0.1609	0.1698	-0.0000	True	unidentifiable	scale_gsm8k_qwen3-8b.json
Llama-3.1-8B-Instruct	8.0	30	0.8688	0.0267	1.0000	0.8688	10.0000	0.1609	0.1633	-0.0000	True	unidentifiable	scale_gsm8k_llama-8b-inst.json
DeepSeek-V3.1	685.0	20	0.8438	0.0186	1.0000	0.8438	10.0000	0.1609	0.1362	-0.0000	True	unidentifiable	frontier_gsm8k_deepseek-v3.1.json
Nemotron-120B	120.0	20	0.1750	0.0600	0.8750	0.1820	0.9902	1.6253	0.2433	0.0137	False	identifiable	frontier_gsm8k_nemotron-120b.json
