T_tokens	G4_acc	G32_acc	empirical_retention	d_eff_ratio	R_pred_calibration_T1M_T4M	R_pred_full_fit	err_calibration	err_full	is_calibration_pair
1000000	0.41	0.42	0.9761904761904762	0.029562500000000005	0.946024640675211	0.8813037745149226	-0.030165835515265194	-0.09488670167555358	yes
4000000	0.55	0.66	0.8333333333333334	0.029562500000000005	0.6571710799025292	0.7019120929067532	-0.17616225343080416	-0.1314212404265802	yes
16000000	0.63	0.84	0.75	0.029562500000000005	0.4565143545859576	0.5590360559160367	-0.2934856454140424	-0.19096394408396333	no
64000000	0.64	0.88	0.7272727272727273	0.029562500000000005	0.31712496534988116	0.44524280885366596	-0.41014776192284613	-0.28202991841906133	no
