g_small	g_large	R_at_1M	R_at_64M	slope_dR_per_log10T	T_crossover_R95_tokens	T_crossover_R90_tokens	T_crossover_R85_tokens	T_crossover_R80_tokens	wu_claim_status_at_64M
4	8	0.8542	0.8000	-0.029184			1189592	64000000	fails_hard
4	16	0.8723	0.7529	-0.064280			1509272	3791979	fails_hard
4	32	0.9762	0.7273	-0.137874	1289370	2094588	3402669	6964405	fails_hard
4	64	1.1714	0.7356	-0.243857	3957385	6065120	9334159	14365179	fails_hard
8	16	1.0213	0.9412	-0.043201	18933341				fails
8	32	1.1429	0.9091	-0.130864	11352987				fails
8	64	1.3714	0.9195	-0.255097	29889242				fails
16	32	1.1190	0.9659	-0.087812					holds
16	64	1.3429	0.9770	-0.209646					holds
32	64	1.2000	1.0115	-0.108535					holds
