task	algo	n	CV_mean	CV_lo	CV_hi
arithmetic_easy	dr_grpo	5	0.12847923345600795	0.12440223151145846	0.1334831726748624
arithmetic_easy	grpo	5	0.13466613075863096	0.13102571196475485	0.13914358371444455
gsm8k_cot	dr_grpo	3	0.024482689371598965	0.0215737247696076	0.028487408118926
gsm8k_cot	grpo	3	0.033981928452653264	0.0233495256845489	0.0519128138275928
