task	algo	seed	n	last10_acc	L_mean	L_std	R_mean	R_std	partial_spear_rho	q10	q25	q50	q75	q90	iqr_q	tail_ratio	monotone_q
arithmetic_easy	grpo	42	40	0.978906	4.744141	0.672351	0.919531	0.177622	-0.171670	-0.250909	-0.233906	-0.244989	-0.253456	-0.263158	-0.019550	1.074162	-0.700000
arithmetic_easy	grpo	123	40	0.985938	4.750195	0.653329	0.914258	0.162074	-0.321013	-0.270073	-0.230047	-0.221461	-0.226852	-0.076923	0.003195	0.347343	0.900000
arithmetic_easy	grpo	456	40	0.989844	4.684180	0.616794	0.922656	0.156872	-0.086867	-0.233051	-0.231183	-0.231061	-0.254167	-0.000000	-0.022984	0.000001	0.400000
arithmetic_easy	grpo	789	40	0.994531	4.746875	0.614158	0.922852	0.162382	-0.232458	-0.307692	-0.254630	-0.238372	-0.248503	-0.254143	0.006127	1.066162	0.600000
arithmetic_easy	grpo	1024	40	0.991406	4.785742	0.636567	0.921484	0.171002	-0.346341	-0.287553	-0.273438	-0.285326	-0.198157	-0.104839	0.075281	0.367435	0.900000
arithmetic_easy	dr_grpo	42	40	0.971094	4.716602	0.644744	0.899805	0.180618	-0.015009	-0.262069	-0.285714	-0.239506	-0.223684	-0.000000	0.062030	0.000001	0.900000
arithmetic_easy	dr_grpo	123	40	0.987500	4.679688	0.578479	0.903125	0.174927	-0.152345	-0.298246	-0.289157	-0.278688	-0.268398	-0.050000	0.020758	0.179412	1.000000
arithmetic_easy	dr_grpo	456	40	0.991406	4.703906	0.617815	0.902148	0.163438	-0.157036	-0.205427	-0.221925	-0.244032	-0.260745	-0.066667	-0.038819	0.273189	0.000000
arithmetic_easy	dr_grpo	789	40	0.992188	4.742969	0.588307	0.905859	0.176586	-0.203002	-0.310185	-0.275862	-0.265754	-0.262774	-0.279070	0.013088	1.050108	0.400000
arithmetic_easy	dr_grpo	1024	40	0.998437	4.722852	0.598414	0.923047	0.170319	-0.216886	-0.305221	-0.252500	-0.259036	-0.268617	-0.273224	-0.016117	1.054771	0.000000
gsm8k_cot	grpo	42	30	0.273438	186.319792	9.672385	0.276042	0.109623	-0.756618	-0.005953	-0.005259	-0.002648	-0.002655	-0.004975	0.002604	1.879017	0.600000
gsm8k_cot	grpo	123	30	0.262500	189.636979	5.060168	0.273438	0.084216	-0.469633	-0.003990	-0.000000	-0.006135	-0.011037	-0.008187	-0.011037	1.334524	-0.800000
gsm8k_cot	grpo	456	30	0.257812	191.995313	4.482999	0.265625	0.110485	-0.737931	-0.016394	-0.020895	-0.017805	-0.019480	-0.007726	0.001415	0.433951	0.300000
gsm8k_cot	dr_grpo	42	30	0.256250	190.645833	5.431006	0.271354	0.100088	-0.636930	-0.005005	-0.012570	-0.011465	-0.009688	-0.010791	0.002882	0.941250	-0.100000
gsm8k_cot	dr_grpo	123	30	0.264062	190.168750	4.447464	0.260937	0.084640	-0.644494	-0.008224	-0.008253	-0.012232	-0.015291	-0.016818	-0.007038	1.374857	-1.000000
gsm8k_cot	dr_grpo	456	30	0.235937	192.877083	4.161077	0.248438	0.108655	-0.758843	-0.022727	-0.023845	-0.021448	-0.024051	-0.015815	-0.000206	0.737368	0.300000
