algo	seed	n_steps	n_eff	sigma_step	r_max	lambda	lam_at_bound	t80	aicc_const	aicc_lin	aicc_sat	aicc_best	sat_supported	final_sat	final_lin	final_const	heldout_acc	resid_sat_vs_heldout	resid_lin_vs_heldout	resid_const_vs_heldout
grpo	42	40	128	0.036358	0.8917	0.2184	False	7.3689	-132.176	-171.688	-267.338	sat	True	0.8916	1.038	0.7842	0.98	0.0884	0.058	0.1958
grpo	123	40	128	0.036884	0.8778	0.2213	False	7.2737	-136.871	-181.547	-246.01	sat	True	0.8777	1.0225	0.7754	1.0	0.1223	0.0225	0.2246
grpo	456	40	128	0.035398	0.8875	0.2532	False	6.356	-144.487	-189.463	-222.182	sat	True	0.8874	1.0243	0.7994	0.99	0.1026	0.0343	0.1906
grpo	789	40	128	0.035557	0.8851	0.2533	False	6.3535	-144.423	-186.879	-225.754	sat	True	0.885	1.0188	0.7969	0.985	0.1	0.0338	0.1881
grpo	1024	40	128	0.035049	0.8969	0.25	False	6.4374	-139.785	-180.819	-237.998	sat	True	0.8969	1.0376	0.8046	0.995	0.0981	0.0426	0.1904
ppo	42	40	128	0.043412	1.239	0.0215	False	74.6932	-128.122	-294.18	-276.449	lin	False	0.7043	0.7356	0.4063	0.985	0.2807	0.2494	0.5787
ppo	123	40	128	0.043874	0.7986	0.078	False	20.6405	-135.997	-266.545	-219.593	lin	False	0.7605	0.8552	0.5601	0.995	0.2345	0.1398	0.4349
ppo	456	40	128	0.027014	2.0	0.0025	False	653.4395	-226.135	-243.22	-234.04	lin	False	0.1832	0.1646	0.1043	0.995	0.8118	0.8304	0.8907
ppo	789	40	128	0.04411	0.6733	0.1084	False	14.8455	-157.049	-314.482	-194.866	lin	False	0.6634	0.7598	0.5309	0.985	0.3216	0.2252	0.4541
ppo	1024	40	128	0.04409	0.7159	0.0946	False	17.0144	-143.464	-259.18	-236.817	lin	False	0.698	0.8008	0.5343	1.0	0.302	0.1992	0.4657
