task	algo	seed	model	win	n_windows	mean_rho_all	mean_rho_early	mean_rho_mid	mean_rho_late	frac_late_nonneg
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	Qwen/Qwen2.5-1.5B-Instruct	10	21	-0.4423	-0.4682	-0.5996	-0.2592	0.1429
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	Qwen/Qwen2.5-1.5B-Instruct	12	19	-0.4474	-0.4711	-0.6358	-0.2655	0.0
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	Qwen/Qwen2.5-1.5B-Instruct	8	23	-0.7414	-0.5711	-0.7319	-0.8813	0.0
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	Qwen/Qwen2.5-1.5B-Instruct	10	21	-0.7593	-0.6096	-0.8081	-0.8603	0.0
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	Qwen/Qwen2.5-1.5B-Instruct	12	19	-0.7763	-0.6333	-0.8298	-0.8529	0.0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	Qwen/Qwen2.5-1.5B-Instruct	8	23	-0.6239	-0.7438	-0.4079	-0.6985	0.0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	Qwen/Qwen2.5-1.5B-Instruct	10	21	-0.619	-0.7146	-0.4366	-0.7056	0.0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	Qwen/Qwen2.5-1.5B-Instruct	12	19	-0.6102	-0.6924	-0.5521	-0.5897	0.0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	Qwen/Qwen2.5-1.5B-Instruct	8	23	-0.6227	-0.6248	-0.8316	-0.4585	0.0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	Qwen/Qwen2.5-1.5B-Instruct	10	21	-0.6477	-0.74	-0.7575	-0.4455	0.0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	Qwen/Qwen2.5-1.5B-Instruct	12	19	-0.669	-0.7769	-0.7608	-0.4979	0.0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	Qwen/Qwen2.5-1.5B-Instruct	8	23	-0.647	-0.3046	-0.6459	-0.9142	0.0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	Qwen/Qwen2.5-1.5B-Instruct	10	21	-0.6857	-0.3638	-0.774	-0.9191	0.0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	Qwen/Qwen2.5-1.5B-Instruct	12	19	-0.7075	-0.3915	-0.7872	-0.9101	0.0
