metric	n_models	intercept	slope_per_log10_NxD	se_slope	boot_slope_mean	boot_slope_lo	boot_slope_hi	n_boot
mean_reward	5	0.652981	-0.019177	0.226486	-0.135894	-0.795879	0.304397	1000
peak	5	0.783461	0.040588	0.106656	-0.005908	-0.622862	0.217726	1000
var_reward	5	0.045679	-0.003345	0.011074	-0.003633	-0.061782	0.032261	1000
R_max	5	0.650925	-0.017971	0.225049	-0.131360	-1.118845	0.317866	1000
late_mean	5	0.729913	-0.041182	0.206627	-0.138363	-1.128071	0.266865	1000
