task	algo	seed	n	L_mean	R_mean	te_lr	te_rl	delta	ratio	p_lr	p_rl	p_delta	a_lr	a_rl	witness_lr	witness_rl
arithmetic_easy	grpo	42	40	4.744141	0.919531	0.203023	0.665329	-0.462306	0.305146	0.741294	0.039801	1.000000	-0.440194	0.045630	L2->R0=0.0708bits	L2->R0=0.1538bits
arithmetic_easy	grpo	123	40	4.750195	0.914258	0.216073	0.122733	0.093340	1.760516	0.736318	0.975124	0.174129	0.119949	0.149702	L0->R0=0.0722bits	L0->R2=0.0221bits
arithmetic_easy	grpo	456	40	4.684180	0.922656	0.413219	0.377478	0.035741	1.094684	0.278607	0.218905	0.447761	-0.103574	0.037554	L2->R0=0.1374bits	L1->R2=0.1392bits
arithmetic_easy	grpo	789	40	4.746875	0.922852	0.292562	0.485235	-0.192673	0.602928	0.537313	0.154229	0.741294	-0.200774	0.120489	L0->R0=0.0813bits	L2->R2=0.1219bits
arithmetic_easy	grpo	1024	40	4.785742	0.921484	0.281770	0.237195	0.044575	1.187928	0.452736	0.805970	0.288557	-0.229040	-0.036342	L1->R0=0.0982bits	L0->R1=0.0625bits
arithmetic_easy	dr_grpo	42	40	4.716602	0.899805	0.457278	0.553476	-0.096198	0.826193	0.004975	0.069652	0.736318	0.051482	0.054767	L2->R1=0.1123bits	L1->R2=0.1219bits
arithmetic_easy	dr_grpo	123	40	4.679688	0.903125	0.269846	0.178721	0.091125	1.509872	0.696517	0.701493	0.432836	-0.009907	0.007216	L2->R0=0.1078bits	L0->R0=0.0450bits
arithmetic_easy	dr_grpo	456	40	4.703906	0.902148	0.307556	0.536623	-0.229067	0.573132	0.393035	0.059701	0.825871	-0.211468	0.123991	L2->R0=0.0816bits	L1->R2=0.1390bits
arithmetic_easy	dr_grpo	789	40	4.742969	0.905859	0.397871	0.228608	0.169263	1.740410	0.079602	0.671642	0.044776	0.052629	-0.280197	L1->R0=0.0982bits	L2->R2=0.0971bits
arithmetic_easy	dr_grpo	1024	40	4.722852	0.923047	0.392538	0.744961	-0.352423	0.526924	0.218905	0.004975	1.000000	0.103810	0.347377	L2->R0=0.0952bits	L0->R1=0.1627bits
gsm8k_cot	grpo	42	30	186.319792	0.276042	0.360841	0.235480	0.125361	1.532364	0.736318	0.835821	0.482587	-0.102506	0.209374	L0->R1=0.1093bits	L2->R1=0.0593bits
gsm8k_cot	grpo	123	30	189.636979	0.273438	0.249132	0.367728	-0.118596	0.677489	0.651741	0.587065	0.542289	-0.202173	-0.106985	L1->R1=0.0579bits	L2->R0=0.0807bits
gsm8k_cot	grpo	456	30	191.995313	0.265625	0.561960	0.555073	0.006887	1.012408	0.059701	0.194030	0.597015	0.356648	-0.044140	L1->R0=0.1368bits	L1->R0=0.1601bits
gsm8k_cot	dr_grpo	42	30	190.645833	0.271354	0.474281	0.413793	0.060488	1.146179	0.308458	0.472637	0.293532	0.328341	0.150817	L1->R2=0.1210bits	L1->R1=0.1178bits
gsm8k_cot	dr_grpo	123	30	190.168750	0.260937	0.603785	0.521359	0.082426	1.158099	0.004975	0.189055	0.253731	0.245726	-0.093513	L1->R2=0.0913bits	L2->R1=0.1034bits
gsm8k_cot	dr_grpo	456	30	192.877083	0.248438	0.273309	0.426363	-0.153054	0.641025	0.950249	0.417910	0.915423	-0.064687	0.269202	L0->R2=0.1018bits	L0->R1=0.1198bits
