task	obs_rho	ci_lo	ci_hi	n	B_boot
arithmetic_easy	-0.3683622351363518	-0.7859137280816288	0.13668773869791617	20	50000
gsm8k_cot	-0.1576184553761279	-0.7802197802197801	0.673758865248227	12	50000
