pool	n	AICc_intercept	RSS_intercept	AICc_params	RSS_params	beta_params	AICc_capability	RSS_capability	beta_capability	AICc_params+cap	RSS_params+cap	beta_params	beta_capability	AICc_interaction	RSS_interaction	beta_params	beta_capability	beta_interaction	rho_pool	p_pool	rho_capable	p_capable	rho_incapable	p_incapable	BF_interaction_vs_main	BF_capability_vs_params	BF_full_vs_params
n=5 (iter125/129)	5	-8.6816	0.4522	-2.0364	0.4503	-0.0231	-23.0752	0.0067	0.6093	-3.6526	0.0060	-0.0142	0.6087	nan	0.0013	-0.0879	0.4737	0.0911	-0.0513	0.9347	0.5000	0.6667	nan	nan	dBF=7.52 (strong)	dBF=21.04 (very strong)	dBF=21.62 (very strong)
n=7 (reliable n>=20)	7	-15.1183	0.5413	-10.9780	0.5367	0.0283	-41.6148	0.0067	0.6117	-34.9915	0.0064	-0.0079	0.6136	-31.8782	0.0013	-0.0879	0.4751	0.0911	0.1622	0.7283	0.3000	0.6238	nan	nan	dBF=10.89 (very strong)	dBF=30.64 (very strong)	dBF=31.01 (very strong)
n=10 (reliable+probes)	11	-24.3829	0.9599	-21.4396	0.9501	0.0409	-52.3142	0.0574	0.5753	-48.6399	0.0561	-0.0151	0.5784	-44.6146	0.0502	-0.1012	0.4311	0.0979	-0.0822	0.8101	0.2571	0.6228	-0.7000	0.1881	dBF=1.21 (not worth more than a mention)	dBF=30.87 (very strong)	dBF=31.13 (very strong)
n=12 (all anchors)	12	-26.2805	1.0995	-23.8126	1.0577	0.0809	-56.1237	0.0716	-0.5937	-52.4604	0.0716	-0.0018	-0.5942	-49.1190	0.0639	0.0109	-0.4245	-0.1121	0.1002	0.7567	-0.7000	0.1881	0.2342	0.6132	dBF=1.37 (not worth more than a mention)	dBF=32.31 (very strong)	dBF=32.31 (very strong)
