# Per-prompt Iso-G sizing on tinker_gsm8k (Qwen3-8B).
# Restricts to prompts with p_x in (0.05, 0.95) for finite G sizing.
# For each (problem, seed, Y_target): smallest G s.t. yield(p_x, G) >= target,
# under both the iid baseline and the empirical anti-herding-corrected base.
# G_iid=-1 or G_emp=-1 means unreachable within G_MAX=32.
# Source: scripts/zvf_iter46_isog.py
source	seed	problem_id	p_x	delta_div	Y_target	G_iid	G_emp	dG
tinker_gsm8k	42	0	0.5000	0.0078	0.50	2	2	0
tinker_gsm8k	42	0	0.5000	0.0078	0.70	3	3	0
tinker_gsm8k	42	0	0.5000	0.0078	0.80	4	4	0
tinker_gsm8k	42	0	0.5000	0.0078	0.90	5	5	0
tinker_gsm8k	42	0	0.5000	0.0078	0.95	6	6	0
tinker_gsm8k	42	2	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	2	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	2	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	2	0.7500	0.1001	0.90	9	6	3
tinker_gsm8k	42	2	0.7500	0.1001	0.95	11	7	4
tinker_gsm8k	42	4	0.1250	0.3436	0.50	6	2	4
tinker_gsm8k	42	4	0.1250	0.3436	0.70	10	4	6
tinker_gsm8k	42	4	0.1250	0.3436	0.80	13	5	8
tinker_gsm8k	42	4	0.1250	0.3436	0.90	18	7	11
tinker_gsm8k	42	4	0.1250	0.3436	0.95	23	7	16
tinker_gsm8k	42	5	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	5	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	5	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	5	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	5	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	6	0.5000	0.0078	0.50	2	2	0
tinker_gsm8k	42	6	0.5000	0.0078	0.70	3	3	0
tinker_gsm8k	42	6	0.5000	0.0078	0.80	4	4	0
tinker_gsm8k	42	6	0.5000	0.0078	0.90	5	5	0
tinker_gsm8k	42	6	0.5000	0.0078	0.95	6	6	0
tinker_gsm8k	42	7	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	7	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	7	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	7	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	7	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	8	0.6250	0.0237	0.50	3	3	0
tinker_gsm8k	42	8	0.6250	0.0237	0.70	3	3	0
tinker_gsm8k	42	8	0.6250	0.0237	0.80	4	4	0
tinker_gsm8k	42	8	0.6250	0.0237	0.90	6	5	1
tinker_gsm8k	42	8	0.6250	0.0237	0.95	7	6	1
tinker_gsm8k	42	9	0.7500	0.1001	0.50	3	3	0
tinker_gsm8k	42	9	0.7500	0.1001	0.70	5	4	1
tinker_gsm8k	42	9	0.7500	0.1001	0.80	6	5	1
tinker_gsm8k	42	9	0.7500	0.1001	0.90	9	6	3
