G	seed	step	zvf	advantage_variance	mean_reward	entropy	grad_norm
2	42	0	0.75	0.999996	0.1875	1.28513	2.219275
2	42	1	0.6875	0.999996	0.21875	1.198863	2.416262
2	42	2	0.625	0.999996	0.1875	0.864488	1.006442
2	42	3	0.5	0.999996	0.4375	0.781453	0.978678
2	42	4	0.5	0.999996	0.5625	0.757242	1.189034
2	42	5	0.3125	0.999996	0.40625	0.608616	1.741523
2	42	6	0.375	0.999996	0.5	1.000133	1.644977
2	42	7	0.375	0.999996	0.625	0.694907	2.352377
2	42	8	0.5	0.999996	0.75	0.638468	1.499739
2	42	9	0.625	0.999996	0.75	0.506434	0.845105
2	42	10	0.6875	0.999996	0.84375	0.601264	1.202762
2	42	11	0.6875	0.999996	0.78125	0.451525	1.127865
2	42	12	0.875	0.999996	0.875	0.398998	0.551308
2	42	13	0.75	0.999996	0.8125	0.308749	1.300271
2	42	14	0.875	0.999996	0.9375	0.21988	1.137862
2	42	15	0.9375	0.999996	0.96875	0.215622	0.036437
2	42	16	0.875	0.999996	0.8125	0.17878	1.89779
2	42	17	0.875	0.999996	0.9375	0.128849	0.52147
2	42	18	1.0	0.0	1.0	0.066292	0.0
2	42	19	1.0	0.0	1.0	0.057439	0.0
2	42	20	0.9375	0.999996	0.96875	0.070531	0.053869
2	42	21	1.0	0.0	1.0	0.039184	0.0
2	42	22	1.0	0.0	1.0	0.042199	0.0
2	42	23	0.9375	0.999996	0.96875	0.039202	0.958826
2	42	24	0.8125	0.999996	0.90625	0.060444	2.320424
2	42	25	0.875	0.999996	0.9375	0.048951	2.896232
2	42	26	0.9375	0.999996	0.96875	0.064248	0.606273
2	42	27	1.0	0.0	1.0	0.018546	0.0
2	42	28	0.9375	0.999996	0.96875	0.02386	0.004131
2	42	29	1.0	0.0	1.0	0.028168	0.0
2	42	30	1.0	0.0	1.0	0.021676	0.0
2	42	31	1.0	0.0	1.0	0.02622	0.0
2	42	32	1.0	0.0	1.0	0.013875	0.0
2	42	33	0.9375	0.999996	0.96875	0.023303	1.144702
2	42	34	1.0	0.0	1.0	0.017842	0.0
2	42	35	0.9375	0.999996	0.90625	0.061213	2.214428
2	42	36	0.9375	0.999996	0.90625	0.021082	0.530527
2	42	37	1.0	0.0	1.0	0.011732	0.0
2	42	38	1.0	0.0	1.0	0.007644	0.0
2	42	39	1.0	0.0	1.0	0.006643	0.0
2	123	0	0.6875	0.999996	0.15625	1.299575	1.92186
2	123	1	0.5625	0.999996	0.34375	0.979433	2.737467
2	123	2	0.375	0.999996	0.5	0.83408	2.08572
2	123	3	0.5	0.999996	0.5	0.710778	1.45737
2	123	4	0.5625	0.999996	0.65625	0.707526	0.892245
2	123	5	0.6875	0.999996	0.65625	0.80407	1.35007
2	123	6	0.5625	0.999996	0.53125	0.615877	1.079683
2	123	7	0.4375	0.999996	0.59375	0.769576	1.388631
2	123	8	0.625	0.999996	0.8125	0.621172	1.147964
2	123	9	0.875	0.999996	0.9375	0.734244	0.318505
2	123	10	0.8125	0.999996	0.84375	0.489405	0.579227
2	123	11	0.6875	0.999996	0.78125	0.457021	0.871203
2	123	12	0.625	0.999996	0.8125	0.456549	1.820739
2	123	13	0.9375	0.999996	0.84375	0.23736	0.388406
2	123	14	0.75	0.999996	0.875	0.236116	1.495754
2	123	15	0.9375	0.999996	0.96875	0.250292	0.109484
2	123	16	0.9375	0.999996	0.96875	0.119025	0.555308
2	123	17	0.9375	0.999996	0.96875	0.187312	0.377188
2	123	18	0.9375	0.999996	0.90625	0.101258	0.377681
2	123	19	0.9375	0.999996	0.90625	0.091873	0.343156
2	123	20	1.0	0.0	1.0	0.070072	0.0
2	123	21	0.9375	0.999996	0.96875	0.035481	1.315656
2	123	22	1.0	0.0	0.9375	0.052448	0.0
2	123	23	1.0	0.0	1.0	0.024486	0.0
2	123	24	1.0	0.0	1.0	0.012996	0.0
2	123	25	0.9375	0.999996	0.96875	0.057176	0.453636
2	123	26	0.9375	0.999996	0.96875	0.023267	1.108057
2	123	27	1.0	0.0	1.0	0.018747	0.0
2	123	28	1.0	0.0	0.9375	0.011659	0.0
2	123	29	1.0	0.0	1.0	0.01173	0.0
2	123	30	1.0	0.0	0.875	0.023539	0.0
