g_small	g_large	slope_dR_per_log10T	intercept_at_log10T_5	T_R95_tokens	T_R95_log10T	T_R90_tokens	T_R90_log10T	T_R85_tokens	T_R85_log10T	T_R80_tokens	T_R80_log10T	R_at_1M	R_at_4M	R_at_16M	R_at_64M
4	8	-0.029184	1.022146					1189592	6.0754	64000000	7.8062	0.8542	0.8209	0.8077	0.8000
4	16	-0.064280	1.241402					1509272	6.1788	3791979	6.5789	0.8723	0.7971	0.7683	0.7529
4	32	-0.137874	1.773459	1289370	6.1104	2094588	6.3211	3402669	6.5318	6964405	6.8429	0.9762	0.8333	0.7500	0.7273
4	64	-0.243857	2.594076	3957385	6.5974	6065120	6.7828	9334159	6.9701	14365179	7.1573	1.1714	0.9483	0.7875	0.7356
8	16	-0.043201	1.269391	18933341	7.2772							1.0213	0.9710	0.9512	0.9412
8	32	-0.130864	1.902283	11352987	7.0551							1.1429	1.0152	0.9286	0.9091
8	64	-0.255097	2.866243	29889242	7.4755							1.3714	1.1552	0.9750	0.9195
16	32	-0.087812	1.632823									1.1190	1.0455	0.9762	0.9659
16	64	-0.209646	2.580833									1.3429	1.1897	1.0250	0.9770
32	64	-0.108535	1.849086									1.2000	1.1379	1.0500	1.0115
