# Pillar 2 AERO-vs-GRPO effect size (iter118).
# Paired bootstrap (B=2000) over the n=5 per-seed cells of
# variance_mitigation (real measurement).  Negative gap_zvf means
# AERO has LOWER mean ZVF than GRPO (better contrast).
# gap_failure is the gap in fraction-of-(seed)-cells labelled
# collapse-or-drift; gap_last10 is the gap in mean last-10 accuracy.
# Source: scripts/zvf_iter118_diagnostic.py
metric	aero_mean	grpo_mean	gap	ci_lo	ci_hi	n_aero	n_grpo
mean_zvf	0.2203	0.4808	-0.2605	-0.2618	-0.2592	5	5
failure_rate	0.0000	0.0000	+0.0000	+0.0000	+0.0000	5	5
last10_avg	0.3993	0.3791	+0.0203	+0.0194	+0.0211	5	5
