arch	log10N	model	params_B	r_max	r_max_residual_after_logN
dense	0.6020599913279624	Qwen3.5-4B	4.0	0.8166676249960627	0.24569797161908502
dense	0.9030899869919435	Qwen3-8B	8.0	0.2854169629940736	-0.30884295798155814
dense	0.9030899869919435	Llama-3.1-8B-Instruct	8.0	0.8687511159659258	0.27449119499029406
moe	1.3010299956639813	gpt-oss-20B	20.0	0.847921402940835	0.2228734228890975
dense	1.4313637641589874	Qwen3.5-27B	27.0	0.43733806236129247	-0.19779365814526018
moe	1.4771212547196624	Qwen3-30B-MoE	30.0	0.4496323665492506	-0.1890395466794605
moe	1.4771212547196624	Qwen3-30B-MoE-Inst	30.0	1.0000151359876228	0.36134322275891173
dense	1.505149978319906	Qwen3-32B	32.0	0.24966950125207615	-0.3911709549208639
dense	2.0791812460476247	Nemotron-120B	120.0	0.18204168776647722	-0.5032107606595422
moe	2.3710678622717363	Qwen3-235B-MoE	235.0	1.0000113509372341	0.2921760453267318
moe	2.8356905714924254	DeepSeek-V3.1	685.0	0.8437518443744096	0.09996933288399745
moe	3.0	Kimi-K2-Thinking	1000.0	0.8500015889184819	0.09350668791857053
