task	median_lam_ratio_GRPO	median_lam_ratio_DrGRPO	median_resid_rho_GRPO	median_resid_rho_DrGRPO	n_L_ident_GRPO	n_L_ident_DrGRPO	n_R_ident_GRPO	n_R_ident_DrGRPO	joint_saturation_holds
arithmetic_easy	1.2305	1.3731	-0.2135	-0.0591	5	5	5	5	yes
gsm8k_cot	0.0007	0.0006	-0.576	-0.6512	1	1	3	2	no
