T_tokens	G_a	G_b	gap_log2	acc_a	acc_b	diff	diff_ci_low	diff_ci_high	retention	retention_ci_low	retention_ci_high	tost_p_eps0.02	tost_p_eps0.05	tost_p_eps0.1	tost_p_eps0.2	tost_equiv_eps0.05	wu_97_6_in_CI
1000000	4	8	1.0	0.41	0.48	-0.07	-0.13	-0.01	0.8542	0.7451	0.9778	0.051199	0.256771	0.836457	0.999989	False	True
1000000	4	16	2.0	0.41	0.47	-0.06	-0.12	0.0	0.8723	0.76	1.0	0.095663	0.37196	0.904337	0.999998	False	True
1000000	4	32	3.0	0.41	0.42	-0.01	-0.07	0.05	0.9762	0.8444	1.1282	0.62804	0.904337	0.998359	1.0	False	True
1000000	4	64	4.0	0.41	0.35	0.06	0.0	0.12	1.1714	1.0	1.375	0.995517	0.999837	1.0	1.0	False	False
1000000	8	16	1.0	0.48	0.47	0.01	-0.05	0.07	1.0213	0.9	1.1591	0.836457	0.975002	0.999837	1.0	False	True
1000000	8	32	2.0	0.48	0.42	0.06	0.0	0.12	1.1429	1.0	1.3077	0.995517	0.999837	1.0	1.0	False	False
1000000	8	64	3.0	0.48	0.35	0.13	0.07	0.19	1.3714	1.1842	1.5938	1.0	1.0	1.0	1.0	False	False
1000000	16	32	1.0	0.47	0.42	0.05	-0.01	0.11	1.119	0.9778	1.2821	0.988892	0.999456	1.0	1.0	False	False
1000000	16	64	2.0	0.47	0.35	0.12	0.06	0.18	1.3429	1.1579	1.5625	0.999998	1.0	1.0	1.0	False	False
1000000	32	64	1.0	0.42	0.35	0.07	0.01	0.13	1.2	1.0263	1.4062	0.998359	0.999956	1.0	1.0	False	False
4000000	4	8	1.0	0.55	0.67	-0.12	-0.18	-0.06	0.8209	0.7429	0.9062	0.000544	0.011108	0.256771	0.995517	True	False
4000000	4	16	2.0	0.55	0.69	-0.14	-0.2	-0.08	0.7971	0.7222	0.8788	4.4e-05	0.001641	0.095663	0.975002	True	False
4000000	4	32	3.0	0.55	0.66	-0.11	-0.17	-0.05	0.8333	0.7536	0.9206	0.001641	0.024998	0.37196	0.998359	True	False
4000000	4	64	4.0	0.55	0.58	-0.03	-0.09	0.03	0.9483	0.8525	1.0545	0.37196	0.743229	0.988892	1.0	False	True
4000000	8	16	1.0	0.67	0.69	-0.02	-0.08	0.04	0.971	0.8889	1.0606	0.5	0.836457	0.995517	1.0	False	True
4000000	8	32	2.0	0.67	0.66	0.01	-0.05	0.07	1.0152	0.9275	1.1111	0.836457	0.975002	0.999837	1.0	False	True
4000000	8	64	3.0	0.67	0.58	0.09	0.03	0.15	1.1552	1.0492	1.2727	0.999837	0.999998	1.0	1.0	False	False
4000000	16	32	1.0	0.69	0.66	0.03	-0.03	0.09	1.0455	0.9565	1.1429	0.948801	0.995517	0.999989	1.0	False	True
4000000	16	64	2.0	0.69	0.58	0.11	0.05	0.17	1.1897	1.082	1.3091	0.999989	1.0	1.0	1.0	False	False
4000000	32	64	1.0	0.66	0.58	0.08	0.02	0.14	1.1379	1.0328	1.2545	0.999456	0.999989	1.0	1.0	False	False
16000000	4	8	1.0	0.63	0.78	-0.15	-0.21	-0.09	0.8077	0.7407	0.88	1.1e-05	0.000544	0.051199	0.948801	True	False
16000000	4	16	2.0	0.63	0.82	-0.19	-0.25	-0.13	0.7683	0.7059	0.8354	0.0	2e-06	0.001641	0.62804	True	False
16000000	4	32	3.0	0.63	0.84	-0.21	-0.27	-0.15	0.75	0.6897	0.8148	0.0	0.0	0.000163	0.37196	True	False
